,0
0,"Wilmington Country Club - Wilmington, DE"
1,"TPC Southwind - Memphis, TN"
2,"Sedgefield Country Club - Greensboro, NC"
3,"Detroit Golf Club - Detroit, MI"
4,"TPC Twin Cities - Blaine, MN"
5,"St. Andrews - St. Andrews, Scotland"
6,"Keene Trace Golf Club - Nicholasville, KY"
7,"The Renaissance Club - North Berwick, Scotland"
8,"TPC Deere Run - Silvis, IL"
9,"TPC River Highlands - Cromwell, CT"
10,"The Country Club - Brookline, MA"
11,"St. George's Golf & Country Club - Toronto, Ontario, Canada"
12,"Muirfield Village Golf Club - Dublin, OH"
13,"Colonial - Ft. Worth, TX"
14,"Southern Hills Country Club - Tulsa, OK"
15,"TPC Craig Ranch - McKinney, TX"
16,"TPC Potomac at Avenel Farm - Potomac, MD"
17,"Vidanta Vallarta - Villa Hidalgo, Mexico"
18,"Harbour Town Golf Links - Hilton Head Island, SC"
19,"Augusta National Golf Club - Augusta, GA"
20,"TPC San Antonio - San Antonio, TX"
21,"Corales Puntacana GC - Punta Cana, Dominican Republic"
22,"Innisbrook - Palm Harbor, FL"
23,"TPC Sawgrass - Ponte Vedra Beach, FL"
24,"Grand Reserve Country Club - Rio Grande, Puerto Rico"
25,"Bay Hill - Orlando, FL"
26,"PGA National - Palm Beach Gardens, FL"
27,"Riviera Country Club - Pacific Palisades, CA"
28,"TPC Scottsdale - Scottsdale, AZ"
29,"Pebble Beach Resort - Pebble Beach, CA"
30,"Torrey Pines North - La Jolla, CA"
31,"La Quinta CC - La Quinta, CA"
32,"Waialae CC - Honolulu, HI"
33,"Kapalua Resort - Kapalua, HI"
34,"Albany - New Providence, Bahamas"
35,"Sea Island Resort - Sea Island, GA"
36,"Memorial Park GC - Houston, TX"
37,"El Camaleon GC - Quintana Roo, Mexico"
38,"Port Royal GC - Southampton Parish, Bermuda"
39,"Accordia Golf Narashino CC - Chiba, Japan"
40,"The Summit Club - Las Vegas, NV"
41,"TPC Summerlin - Las Vegas, NV"
42,"Country Club of Jackson - Jackson, MS"
43,"Silverado Resort - Napa, CA"
44,"East Lake Golf Club - Atlanta, GA"
45,"Caves Valley Golf Club - Baltimore, MD"
46,"Liberty National - Jersey City, NJ"
47,"Royal St. George's Golf Club - Kent, England "
48,"Torrey Pines South - La Jolla, CA"
49,"Congaree Golf Club - Ridgeland, SC"
50,"Kiawah Island Golf Resort - Kiawah Island, SC"
51,"Quail Hollow Club - Charlotte, NC"
52,"The Concession Golf Club - Bradenton, FL"
53,"Sherwood CC - Thousand Oaks, CA"
54,"Shadow Creek GC - Las Vegas, NV"
55,"Winged Foot GC - Mamaroneck, NY"
56,"Olympia Fields Country Club - Olympia Fields, IL"
57,"TPC Boston - Norton, MA"
58,"TPC Harding Park - San Francisco, CA"
59,"Chapultepec - Mexico City, Mexico"
60,"Sheshan International GC - Shanghai, China"
61,"The Club at Nine Bridges - Seoul, South Korea"
62,"Golf Club of Houston - Houston, TX"
63,"Old White Course - White Sulphur Springs, WV"
64,"Medinah - Medinah, IL"
65,"Royal Portrush - Portrush, Northern Ireland"
66,"Hamilton - Hamilton, Ontario, Canada"
67,"Bethpage - Farmingdale, NY"
68,"Trinity Forest Golf Club - Dallas, TX"
69,"Coco Beach - Rio Grande, Puerto Rico"
70,"TPC Kuala Lumpur - Kuala Lumpur, Malaysia"
71,"Aronimink Golf Club - Newton Square, PA"
72,"Ridgewood Country Club - Paramus, NJ"
73,"Bellerive Country Club - St. Louis, MO"
74,"Firestone Country Club - Akron, OH"
75,"Glen Abbey Golf Club - Oakville, Canada"
76,"Carnoustie Golf Club - Carnoustie, Scotland"
77,"Shinnecock Hills Golf Club - Southampton, NY"
78,"Redstone Golf Club - Houston, TX"
79,"Conway Farms Golf Club - Lake Forest, IL"
80,"Glen Oaks Club - Old Westbury, NY"
81,"Robert Trent Jones Golf Trail - Auburn, AL"
82,"Royal Birkdale Golf Club - Lancashire, England"
83,"Erin Hills Golf Club - Erin, WI"
84,"TPC Four Seasons Resort Las Colinas - Irving, TX"
85,"Eagle Point Golf Club - Wilmington, NC"
86,"Crooked Stick - Carmel, IN"
87,"Baltusrol - Springfield, NJ"
88,"Royal Troon - Ayrshire, Scotland"
89,"Congressional - Bethesda, MD"
90,"Oakmont - Oakmont, PA"
91,"Doral - Miami, FL"
92,"Plainfield CC - Edison, NJ"
93,"Whistling Straits - Kohler, WI"
94,"Chambers Bay - University Place, WA"
95,"Isleworth - Windemere, FL"
