,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut
0,Ludvig Aberg,52955,,,,,,,,,,,,,,
1,Anders Albertson,49303,,,,,,,,-3.0,0.0,-3.0,0.0,,,
2,Tyson Alexander,33408,71.891,-1.066,-0.38,0.08,-0.847,-0.4,-0.219,,,,,,,
3,Byeong Hun An,33948,70.356,0.709,0.373,0.47,0.919,0.086,-0.21,7.0,0.0,7.0,0.0,,,
4,Ryan Armour,19803,71.473,-0.396,-0.262,-0.178,-0.283,-0.002,-0.114,-4.25,0.5,-4.25,0.5,533.0,5.0,0.0
5,Arjun Atwal,21407,,,,,,,,-3.67,0.67,-3.67,0.67,436.0,9.0,0.0
6,Aaron Baddeley,22371,70.707,0.278,-0.499,0.507,-0.103,0.034,0.381,-5.33,1.0,-5.33,1.0,437.0,-1.0,1.0
7,Sangmoon Bae,28259,,,,,,,,,,,,,,
8,Briny Baird,20498,,,,,,,,,,,,,,
9,Craig Barlow,19824,,,,,,,,,,,,,,
10,Erik Barnes,34374,71.138,0.352,0.148,0.052,0.326,0.126,0.026,,,,,,,
11,Ricky Barnes,24846,,,,,,,,1.33,0.33,1.33,0.33,534.0,-2.0,1.0
12,Charlie Beljan,32334,,,,,,,,,,,,,,
13,Deane Beman,01076,,,,,,,,,,,,,,
14,Daniel Berger,40026,,,,,,,,-14.0,1.0,-14.0,1.0,,,
15,Matt Bettencourt,20070,,,,,,,,,,,,,,
16,Christiaan Bezuidenhout,45522,70.757,0.179,-0.355,0.151,0.004,0.157,0.175,,,,,,,
17,Akshay Bhatia,56630,70.438,0.277,0.287,-0.2,0.748,0.552,-0.471,,,,,,,
18,Zac Blair,40058,71.056,-0.075,-0.379,0.224,-0.062,0.086,-0.013,,,,,,,
19,Jonas Blixt,27895,,,,,,,,4.5,0.5,4.5,0.5,493.0,5.0,1.0
20,Jason Bohn,24507,,,,,,,,3.0,0.0,3.0,0.0,494.0,3.0,0.0
21,Keegan Bradley,33141,70.109,1.078,0.264,0.051,0.579,0.335,0.499,-7.5,1.0,-7.5,1.0,,,
22,Joseph Bramlett,34255,70.58,0.454,0.204,0.17,0.751,0.394,-0.297,1.0,0.33,1.0,0.33,495.0,5.0,0.0
23,Ryan Brehm,28420,72.86,-1.158,-0.295,-0.506,-1.343,-0.504,0.185,-1.67,0.67,-1.67,0.67,535.0,-4.0,1.0
24,Scott Brown,29479,,,,,,,,-3.75,0.75,-3.75,0.75,542.0,-7.0,1.0
25,Wesley Bryan,48084,,,,,,,,17.0,0.0,17.0,0.0,562.0,17.0,0.0
26,Hayden Buckley,55708,70.537,0.261,0.695,-0.518,0.2,0.02,0.061,-5.0,1.0,-5.0,1.0,489.0,-5.0,1.0
