,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut,odds
0,Anders Albertson,49303,71.97,-0.956,-0.751,-0.12,-1.71,-0.838,0.753,3.0,0.0,,,,,,
1,Tyson Alexander,33408,71.623,-0.876,-0.302,0.164,-0.772,-0.556,-0.103,,,,,,,,96250.0
2,Byeong Hun An,33948,70.632,0.535,0.165,0.54,0.718,0.0,-0.182,-8.0,1.0,,,,,,
3,Ryan Armour,19803,71.494,-0.545,-0.165,-0.288,-0.414,-0.055,-0.131,-6.0,0.75,-7.5,0.5,1808.0,-1.0,0.0,76250.0
4,Aaron Baddeley,22371,70.759,0.257,-0.337,0.498,0.012,-0.109,0.244,-1.0,0.0,-4.0,0.0,,,,218750.0
5,Sangmoon Bae,28259,,,,,,,,,,,,,,,33333.0
6,Briny Baird,20498,,,,,,,,,,,,,,,
7,Erik Barnes,34374,71.138,0.352,0.148,0.052,0.326,0.126,0.026,,,,,,,,
8,Ricky Barnes,24846,,,,,,,,-0.33,0.33,-5.0,0.0,,,,151250.0
9,Daniel Berger,40026,,,,,,,,-17.33,1.0,-21.0,1.0,,,,
10,Christiaan Bezuidenhout,45522,70.93,0.035,-0.345,0.309,-0.103,-0.084,0.138,-20.0,1.0,-20.0,1.0,1729.0,-20.0,1.0,18625.0
11,Akshay Bhatia,56630,69.991,0.38,0.11,-0.408,0.588,0.776,-0.209,,,,,,,,
12,Zac Blair,40058,71.119,0.017,-0.38,0.392,0.016,-0.049,0.002,-7.0,0.75,,,,,,33500.0
13,Jonas Blixt,27895,,,,,,,,-9.5,0.75,-4.0,0.0,,,,228750.0
14,Keegan Bradley,33141,70.404,0.827,0.311,-0.001,0.61,0.357,0.217,-6.67,0.67,,,,,,
15,Joseph Bramlett,34255,70.531,0.528,0.22,0.22,0.885,0.46,-0.358,-16.0,1.0,-16.0,1.0,1759.0,-13.0,1.0,8750.0
16,Ryan Brehm,28420,73.204,-1.489,-0.278,-0.591,-1.594,-0.676,0.105,-1.0,0.33,-3.5,0.0,1809.0,-3.0,0.0,226250.0
17,Scott Brown,29479,72.659,-2.024,-0.135,-0.032,-1.212,-1.119,-0.812,-10.0,1.0,-13.0,1.0,,,,108750.0
18,Wesley Bryan,48084,,,,,,,,-12.5,1.0,-12.5,1.0,1840.0,-11.0,1.0,237500.0
19,Hayden Buckley,55708,70.304,0.681,0.855,-0.347,0.706,0.169,-0.024,-1.0,0.0,-1.0,0.0,1751.0,-1.0,0.0,
20,Bronson Burgoon,29268,,,,,,,,-12.67,1.0,-17.0,1.0,,,,
21,Sam Burns,47504,70.766,0.778,0.299,0.079,0.031,-0.396,0.747,-10.0,0.33,-13.0,0.5,1815.0,-4.0,0.0,
22,Jonathan Byrd,24925,71.584,-1.272,-0.271,0.455,-0.816,-1.027,-0.456,-3.25,0.5,-5.0,0.0,,,,135000.0
23,Patrick Cantlay,35450,69.659,1.976,0.903,0.085,1.406,0.388,0.57,,,,,,,,
24,Bud Cauley,34021,,,,,,,,-10.0,1.0,,,,,,
25,Greg Chalmers,20593,,,,,,,,0.4,0.4,-1.0,0.0,,,,216250.0
26,Cameron Champ,52372,72.049,-1.165,0.482,-0.886,-0.922,-0.607,-0.243,-12.5,1.0,-12.5,1.0,1730.0,-15.0,1.0,68000.0
27,Kevin Chappell,32366,71.293,0.403,-0.061,0.037,0.239,0.146,0.164,-1.0,0.0,-1.0,0.0,,,,86000.0
28,Stewart Cink,20229,71.693,-0.646,-0.021,-0.079,-0.318,-0.176,-0.329,,,,,,,,281250.0
29,Tim Clark,23135,,,,,,,,,,,,,,,
30,Wyndham Clark,51766,69.836,1.261,0.231,0.165,0.993,0.568,0.268,-5.33,0.33,-8.0,0.5,1841.0,-4.0,0.0,
31,Eric Cole,47591,70.364,0.678,-0.338,0.132,0.181,0.346,0.497,,,,,,,,6375.0
32,Chad Collins,25720,,,,,,,,-2.0,0.25,,,,,,
33,Trevor Cone,49453,72.075,-0.617,0.415,-0.45,-0.53,-0.55,-0.086,,,,,,,,
34,Corey Conners,39997,70.579,0.93,0.489,-0.128,1.083,0.629,-0.154,-7.0,1.0,,,,,,
35,Austin Cook,46435,71.513,-0.629,-0.687,0.274,-0.361,0.008,-0.268,0.25,0.25,-0.5,0.5,1708.0,0.0,0.0,88750.0
36,Vince Covello,32982,,,,,,,,,,,,,,,
37,Ben Crane,23541,,,,,,,,-2.6,0.4,,,,,,300000.0
38,MJ Daffue,39067,71.413,-0.299,0.38,-0.195,0.139,0.029,-0.438,-4.0,0.0,-4.0,0.0,,,,278750.0
39,Joel Dahmen,34076,70.671,0.147,0.338,0.153,0.718,0.239,-0.571,-9.5,1.0,,,,,,
40,Brian Davis,21753,,,,,,,,1.5,0.5,,,,,,
41,Cam Davis,45157,70.968,0.317,0.603,0.048,0.577,-0.032,-0.26,,,,,,,,
42,Jason Day,28089,69.752,1.824,0.383,0.315,1.191,0.529,0.633,-10.0,0.67,-9.0,0.5,1760.0,-13.0,1.0,4300.0
43,Thomas Detry,33653,70.698,0.317,0.02,0.062,0.102,-0.023,0.215,,,,,,,,
44,Luke Donald,23983,72.015,-0.374,-1.086,-0.012,-0.828,0.497,0.454,-6.0,0.33,-10.5,0.5,1781.0,-4.0,0.0,
45,Zecheng Dou,37338,71.907,-0.965,0.159,-0.045,-0.237,-0.289,-0.728,-3.0,0.0,,,,,,5367.0
46,Zecheng Dou,37338,71.907,-0.965,0.159,-0.045,-0.237,-0.289,-0.728,-3.0,0.0,,,,,,37000.0
47,Jason Dufner,25686,72.04,-0.985,-0.199,0.193,0.058,0.069,-1.043,-9.25,0.75,-2.0,0.0,1761.0,-2.0,0.0,137500.0
48,Tyler Duncan,45609,71.283,-0.566,0.378,-0.632,-0.32,-0.061,-0.246,-9.5,0.75,-5.5,0.5,1832.0,-12.0,1.0,118000.0
49,Nico Echavarria,51349,71.487,-0.867,-0.053,-0.384,-1.148,-0.652,0.282,,,,,,,,
50,Austin Eckroat,57362,71.281,0.068,0.377,-0.028,0.168,-0.167,-0.1,,,,,,,,33250.0
51,Harrison Endycott,47079,71.659,-0.485,-0.231,0.131,-0.468,-0.392,-0.018,,,,,,,,76250.0
52,Harris English,34099,70.82,0.394,-0.497,0.312,-0.115,0.106,0.509,-6.83,0.67,-17.0,1.0,,,,
53,Matt Every,28307,,,,,,,,-4.25,0.25,2.0,0.0,,,,
54,Tony Finau,29725,69.522,2.171,0.439,0.185,1.822,1.108,0.349,-12.0,1.0,,,,,,
55,Matt Fitzpatrick,40098,70.405,1.05,0.371,0.268,0.56,-0.163,0.49,,,,,,,,
56,Tommy Fleetwood,30911,69.878,1.733,0.154,0.493,1.399,0.567,0.334,-12.0,1.0,-12.0,1.0,1833.0,-12.0,1.0,
57,Rickie Fowler,32102,69.831,1.488,0.142,0.081,1.086,0.849,0.402,-5.0,0.0,-5.0,0.0,,,,
58,Dylan Frittelli,29970,72.378,-1.085,-0.46,-0.044,-1.115,-0.373,0.03,-7.5,1.0,-10.0,1.0,1740.0,-10.0,1.0,43500.0
59,Jim Furyk,10809,,,,,,,,,,,,,,,
60,Brice Garnett,29535,71.451,0.242,-0.278,0.156,-0.151,-0.074,0.393,-10.0,0.67,-15.0,1.0,1718.0,-19.0,1.0,48750.0
61,Robert Garrigus,24358,,,,,,,,-5.0,0.5,,,,,,133333.0
62,Ryan Gerard,59018,71.036,0.056,-0.113,-0.274,0.433,0.57,-0.377,,,,,,,,
63,Doug Ghim,52375,71.642,-0.495,-0.168,0.013,-0.365,-0.22,-0.131,-8.5,0.5,-2.0,0.0,,,,12625.0
64,Michael Gligic,32662,72.583,-1.194,0.262,-0.496,-0.811,-0.454,-0.383,-10.0,1.0,-10.0,1.0,1786.0,-9.0,1.0,98750.0
65,Lucas Glover,25900,71.841,-0.47,0.124,-0.094,0.16,0.142,-0.63,-1.0,0.0,,,,,,91000.0
66,Fabián Gómez,28679,,,,,,,,,,,,,,,118750.0
67,Will Gordon,56762,70.625,0.396,0.35,-0.309,0.358,0.28,0.038,-5.0,0.0,-5.0,0.0,,,,11500.0
68,Tano Goya,31577,71.513,-0.537,0.141,0.178,-0.232,-0.589,-0.305,,,,,,,,
69,Brent Grant,51414,72.038,-1.436,0.535,-0.518,-0.909,-0.888,-0.527,,,,,,,,88750.0
70,Ben Griffin,54591,70.284,0.773,0.08,0.484,0.464,-0.106,0.308,,,,,,,,36875.0
71,Lanto Griffin,35310,,,,,,,,-8.0,0.5,-13.0,1.0,1782.0,-13.0,1.0,
72,Emiliano Grillo,31646,70.906,0.313,0.24,-0.189,0.499,0.388,-0.186,-14.0,1.0,-14.0,1.0,1748.0,-14.0,1.0,
73,Bill Haas,24924,71.911,-1.528,0.011,0.344,-1.345,-1.534,-0.183,-6.0,0.5,-6.5,0.5,1720.0,-11.0,1.0,126250.0
74,Chesson Hadley,34563,71.306,-0.203,-0.254,-0.586,-0.434,0.384,0.231,-2.67,0.33,-6.0,0.5,1731.0,-10.0,1.0,42500.0
75,Adam Hadwin,33399,70.567,0.729,0.058,0.01,0.278,0.246,0.451,-2.67,0.67,2.0,0.0,1709.0,2.0,0.0,8125.0
76,James Hahn,32448,71.776,-0.25,0.251,-0.287,-0.009,-0.025,-0.242,-9.17,0.67,-13.0,0.5,1762.0,-21.0,1.0,39250.0
77,Paul Haley II,35901,71.678,-0.642,-0.328,-0.001,-0.766,-0.411,0.124,,,,,,,,
78,Harry Hall,57975,70.737,0.364,-0.212,0.318,-0.425,-0.56,0.789,,,,,,,,18125.0
79,Nick Hardy,47988,71.089,-0.142,0.12,-0.327,0.341,0.574,-0.483,,,,,,,,
80,Brian Harman,27644,70.695,0.452,0.547,-0.124,0.237,-0.251,0.215,-4.67,0.33,,,,,,
81,Scott Harrington,27554,72.011,-1.13,-0.098,-0.11,-0.553,-0.367,-0.577,-3.0,0.0,-3.0,0.0,,,,118750.0
82,Tyrrell Hatton,34363,69.752,1.96,0.663,0.059,1.495,0.781,0.465,,,,,,,,3325.0
