,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut
0,Ludvig Aberg,52955,,,,,,,,,,,,,,
1,Anders Albertson,49303,,,,,,,,,,,,,,
2,Tyson Alexander,33408,71.809,-0.981,-0.373,0.068,-0.776,-0.368,-0.205,,,,,,,
3,Byeong Hun An,33948,70.179,0.82,0.408,0.438,0.941,0.119,-0.121,-5.33,1.0,3.0,1.0,,,
4,Ryan Armour,19803,71.41,-0.356,-0.275,-0.15,-0.296,-0.061,-0.059,-4.0,1.0,,,,,
5,Arjun Atwal,21407,,,,,,,,,,,,,,
6,Aaron Baddeley,22371,70.621,0.354,-0.516,0.475,-0.105,0.042,0.459,4.0,1.0,,,,,
7,Sangmoon Bae,28259,,,,,,,,,,,,,,
8,Briny Baird,20498,,,,,,,,,,,,,,
9,Craig Barlow,19824,,,,,,,,,,,,,,
10,Erik Barnes,34374,,,,,,,,,,,,,,
11,Ricky Barnes,24846,,,,,,,,,,,,,,
12,Charlie Beljan,32334,,,,,,,,,,,,,,
13,Deane Beman,01076,,,,,,,,,,,,,,
14,Daniel Berger,40026,,,,,,,,-8.2,1.0,6.0,1.0,,,
15,Matt Bettencourt,20070,,,,,,,,,,,,,,
16,Christiaan Bezuidenhout,45522,70.722,0.166,-0.339,0.142,-0.057,0.149,0.223,-8.0,1.0,,,9.0,-8.0,1.0
17,Akshay Bhatia,56630,70.488,0.18,0.33,-0.214,0.717,0.516,-0.537,,,,,,,
18,Zac Blair,40058,70.954,0.006,-0.391,0.192,-0.089,0.058,0.095,-1.0,1.0,,,,,
19,Jonas Blixt,27895,,,,,,,,,,,,,,
20,Jason Bohn,24507,,,,,,,,3.0,1.0,,,,,
21,Keegan Bradley,33141,70.124,0.98,0.271,0.01,0.547,0.375,0.433,-7.17,1.0,,,29.0,3.0,1.0
22,Joseph Bramlett,34255,70.58,0.454,0.204,0.17,0.751,0.394,-0.297,,,,,,,
23,Ryan Brehm,28420,72.692,-1.091,-0.34,-0.446,-1.308,-0.471,0.218,,,,,,,
24,Scott Brown,29479,,,,,,,,-10.0,1.0,,,,,
25,Wesley Bryan,48084,,,,,,,,4.0,1.0,,,,,
26,Hayden Buckley,55708,70.556,0.184,0.706,-0.521,0.091,-0.049,0.093,,,,,,,
27,Bronson Burgoon,29268,,,,,,,,,,,,,,
28,Bob Burns,06809,,,,,,,,,,,,,,
29,Sam Burns,47504,70.375,0.763,0.264,0.042,0.18,-0.119,0.583,-12.5,1.0,,,47.0,-6.0,1.0
30,Jonathan Byrd,24925,71.47,-0.52,-0.335,0.525,-0.294,-0.567,-0.227,,,,,,,
31,Chad Campbell,12510,,,,,,,,,,,,,,
32,Patrick Cantlay,35450,69.206,2.007,0.848,0.157,1.585,0.488,0.422,-12.5,1.0,3.0,1.0,44.0,-14.0,1.0
33,Bud Cauley,34021,,,,,,,,-9.0,1.0,,,,,
34,Greg Chalmers,20593,,,,,,,,,,,,,,
35,Cameron Champ,52372,71.72,-0.801,0.419,-0.698,-0.347,-0.231,-0.454,4.67,1.0,15.0,1.0,,,
36,Kevin Chappell,32366,71.522,-0.096,-0.018,0.078,0.1,0.123,-0.196,-5.33,1.0,,,,,
37,Daniel Chopra,20850,,,,,,,,,,,,,,
38,Stewart Cink,20229,71.305,-0.404,-0.071,0.054,-0.271,-0.118,-0.133,-9.5,1.0,,,,,
39,Tim Clark,23135,,,,,,,,,,,,,,
40,Wyndham Clark,51766,69.723,1.19,0.289,0.212,0.845,0.419,0.344,-1.0,1.0,,,63.0,6.0,1.0
41,Michael Clark II,12388,,,,,,,,,,,,,,
42,Eric Cole,47591,69.953,0.923,-0.305,0.211,0.392,0.406,0.531,,,,,,,
43,Trevor Cone,49453,71.698,-0.161,0.565,-0.41,-0.074,-0.274,-0.087,,,,,,,
44,Corey Conners,39997,70.135,1.064,0.512,-0.018,1.113,0.547,-0.049,-8.0,1.0,7.0,1.0,10.0,-10.0,1.0
45,Austin Cook,46435,71.729,-0.816,-0.667,0.325,-0.518,-0.215,-0.298,-10.0,1.0,,,,,
46,Chris Couch,11123,,,,,,,,,,,,,,
47,Vince Covello,32982,,,,,,,,,,,,,,
48,Ben Crane,23541,,,,,,,,,,,,,,
49,Ben Curtis,22621,,,,,,,,,,,,,,
50,MJ Daffue,39067,71.323,-0.077,0.446,-0.172,-0.004,-0.197,-0.073,,,,,,,
51,Joel Dahmen,34076,71.053,-0.447,0.105,0.03,0.24,0.058,-0.687,-2.5,1.0,5.0,1.0,,,
52,Robert Damron,19881,,,,,,,,,,,,,,
53,Brian Davis,21753,,,,,,,,,,,,,,
54,Cam Davis,45157,70.358,0.62,0.617,0.156,0.851,0.154,-0.231,,,,,,,
55,Jason Day,28089,69.763,1.308,0.371,0.272,0.862,0.209,0.446,-7.33,1.0,14.0,1.0,,,
56,Brendon de Jonge,23638,,,,,,,,,,,,,,
57,Jay Delsing,01261,,,,,,,,,,,,,,
58,Thomas Detry,33653,70.435,0.292,0.068,0.083,0.029,-0.05,0.263,,,,,,,
59,Luke Donald,23983,71.253,0.052,-0.851,0.161,-0.402,0.342,0.454,-4.0,1.0,,,,,
60,Zecheng Dou,37338,71.513,-0.493,0.066,0.066,0.005,-0.042,-0.497,,,,,,,
61,Jason Dufner,25686,71.862,-0.647,-0.061,0.115,0.112,0.186,-0.759,0.0,1.0,,,,,
62,Tyler Duncan,45609,71.225,-0.386,0.318,-0.445,-0.194,-0.176,-0.192,9.0,1.0,9.0,1.0,,,
63,Nico Echavarria,51349,71.603,-0.973,-0.082,-0.295,-0.832,-0.415,-0.141,,,,,,,
64,Austin Eckroat,57362,70.712,0.44,0.316,0.003,0.314,-0.036,0.126,,,,,,,
65,Ernie Els,06522,,,,,,,,,,,,,,
66,Harrison Endycott,47079,71.563,-0.43,-0.181,0.035,-0.397,-0.313,-0.033,,,,,,,
67,Harris English,34099,70.532,0.431,-0.364,0.18,0.014,0.166,0.417,-4.25,1.0,8.0,1.0,,,
68,Matt Every,28307,,,,,,,,,,,,,,
69,Brad Faxon,01329,,,,,,,,,,,,,,
70,Tony Finau,29725,69.854,1.347,0.267,0.241,1.423,0.776,-0.076,-7.88,1.0,-1.0,1.0,56.0,-4.0,1.0
71,Matt Fitzpatrick,40098,70.296,0.81,0.203,0.212,0.364,0.024,0.446,,,,,,,
72,Tommy Fleetwood,30911,69.21,1.886,0.321,0.349,1.329,0.426,0.556,-14.5,1.0,,,,,
73,Rickie Fowler,32102,69.462,1.575,0.191,0.254,1.191,0.718,0.384,-12.0,1.0,,,,,
74,Ryan Fox,29936,,,,,,,,,,,,,,
75,Robin Freeman,01374,,,,,,,,,,,,,,
76,Dylan Frittelli,29970,72.45,-1.339,-0.583,0.006,-1.41,-0.519,0.071,1.5,1.0,7.0,1.0,,,
77,Jim Furyk,10809,,,,,,,,-3.0,1.0,,,,,
78,Brice Garnett,29535,71.567,-0.026,-0.143,0.036,-0.233,-0.206,0.207,-8.0,1.0,,,,,
79,Robert Garrigus,24358,,,,,,,,,,,,,,
80,Ryan Gerard,59018,71.149,-0.036,-0.23,0.167,0.361,0.226,-0.397,,,,,,,
81,Doug Ghim,52375,70.936,0.242,0.129,0.07,0.45,0.172,-0.207,,,,,,,
82,Michael Gligic,32662,72.683,-1.401,0.071,-0.436,-1.117,-0.568,-0.284,,,,,,,
83,Lucas Glover,25900,70.895,0.514,0.251,-0.005,0.848,0.579,-0.334,-7.0,1.0,,,34.0,8.0,1.0
84,Fabián Gómez,28679,,,,,,,,,,,,,,
85,Will Gordon,56762,71.008,-0.083,0.436,-0.417,0.141,0.171,-0.224,,,,,,,
86,Jason Gore,22892,,,,,,,,,,,,,,
87,David Gossett,23338,,,,,,,,,,,,,,
88,Tano Goya,31577,71.383,-0.282,0.071,0.234,-0.138,-0.472,-0.144,,,,,,,
89,Brent Grant,51414,72.196,-1.464,0.779,-0.482,-0.395,-0.56,-1.069,,,,,,,
90,Nathan Green,23718,,,,,,,,,,,,,,
91,Ben Griffin,54591,70.304,0.589,-0.045,0.349,0.383,0.011,0.205,,,,,,,
92,Lanto Griffin,35310,,,,,,,,2.0,1.0,2.0,1.0,,,
93,Emiliano Grillo,31646,70.401,0.562,0.202,-0.138,0.46,0.303,0.103,-5.17,1.0,,,19.0,-6.0,1.0
94,Bill Haas,24924,,,,,,,,-6.0,1.0,,,,,
95,Chesson Hadley,34563,71.059,0.048,-0.176,-0.359,-0.344,0.218,0.392,-1.0,1.0,,,,,
96,Adam Hadwin,33399,70.379,0.75,-0.074,0.044,0.293,0.305,0.457,-3.6,1.0,8.0,1.0,0.0,-1.0,1.0
97,James Hahn,32448,71.631,-0.231,0.233,-0.262,-0.032,-0.065,-0.199,-7.0,1.0,,,,,
98,Paul Haley II,35901,71.753,-0.784,-0.384,0.051,-0.64,-0.418,-0.143,,,,,,,
99,Harry Hall,57975,70.805,0.108,-0.394,0.211,-0.498,-0.296,0.607,,,,,,,
100,Nick Hardy,47988,70.647,0.18,0.12,-0.211,0.089,0.194,0.091,,,,,,,
101,Brian Harman,27644,70.007,0.719,0.238,-0.005,0.361,0.031,0.358,-2.29,1.0,3.0,1.0,6.0,-2.0,1.0
102,Scott Harrington,27554,71.979,-0.908,0.153,-0.167,-0.181,-0.315,-0.726,,,,,,,
103,Tyrrell Hatton,34363,69.363,1.918,0.578,0.1,1.3,0.608,0.619,-3.67,1.0,4.0,1.0,57.0,-5.0,1.0
104,J.P. Hayes,08537,,,,,,,,,,,,,,
105,David Hearn,26758,,,,,,,,-6.5,1.0,,,,,
106,Russell Henley,34098,69.902,0.86,0.118,0.205,0.942,0.45,-0.082,-1.2,1.0,6.0,1.0,45.0,-2.0,1.0
107,J.J. Henry,23353,,,,,,,,,,,,,,
108,Lucas Herbert,39058,71.167,-0.464,0.303,-0.325,-0.696,-0.552,0.232,-7.0,1.0,,,35.0,-7.0,1.0
109,Jim Herman,31557,72.23,-1.309,-0.002,-0.318,-0.772,-0.444,-0.538,1.0,1.0,8.0,1.0,,,
110,Kramer Hickok,49298,71.488,-0.347,0.017,-0.087,-0.109,-0.158,-0.238,,,,,,,
111,Garrick Higgo,54421,70.989,0.166,0.501,-0.027,0.204,-0.273,-0.037,,,,,,,
112,Harry Higgs,33597,71.732,-1.157,-0.436,0.001,-1.461,-0.885,0.304,1.0,1.0,12.0,1.0,,,
113,Lee Hodges,54628,70.557,0.57,0.262,-0.165,0.405,0.195,0.165,,,,,,,
114,Charley Hoffman,12716,71.115,-0.067,0.043,0.028,0.565,0.522,-0.632,-5.25,1.0,,,,,
115,Tom Hoge,35532,70.598,0.455,-0.28,-0.091,0.319,0.765,0.137,2.67,1.0,15.0,1.0,58.0,0.0,1.0
116,Nicolai Hojgaard,52453,,,,,,,,,,,,,,
117,J.B. Holmes,27141,,,,,,,,-8.67,1.0,,,,,
118,Max Homa,39977,69.583,1.652,0.219,0.246,1.056,0.517,0.596,1.0,1.0,13.0,1.0,38.0,-5.0,1.0
119,Billy Horschel,29420,70.997,0.047,-0.228,0.043,-0.3,-0.118,0.347,-5.5,1.0,7.0,1.0,7.0,-2.0,1.0
120,Beau Hossler,35461,70.525,0.308,0.236,0.223,0.123,-0.487,0.185,-9.0,1.0,,,,,
121,Viktor Hovland,46717,69.392,1.401,0.655,0.039,1.289,0.59,0.112,-3.5,1.0,8.0,1.0,,,
122,Mark Hubbard,36801,70.63,0.516,-0.213,0.174,0.448,0.572,0.069,11.0,1.0,11.0,1.0,,,
