,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut
0,Ludvig Aberg,52955,,,,,,,,,,,,,,
1,Anders Albertson,49303,,,,,,,,-4.0,0.0,-4.0,0.0,,,
2,Tyson Alexander,33408,71.973,-1.275,-0.414,0.099,-0.994,-0.512,-0.281,,,,,,,
3,Byeong Hun An,33948,70.509,0.641,0.328,0.525,0.924,0.07,-0.283,0.0,0.0,0.0,0.0,,,
4,Ryan Armour,19803,71.499,-0.501,-0.213,-0.22,-0.266,0.026,-0.235,-0.6,0.2,-0.6,0.2,962.0,2.0,0.0
5,Arjun Atwal,21407,,,,,,,,-1.0,0.17,-1.0,0.17,863.0,2.0,0.0
6,Aaron Baddeley,22371,70.729,0.293,-0.423,0.498,-0.05,-0.012,0.343,-2.25,0.25,-2.25,0.25,864.0,-7.0,1.0
7,Sangmoon Bae,28259,,,,,,,,,,,,,,
8,Briny Baird,20498,,,,,,,,,,,,,,
9,Craig Barlow,19824,,,,,,,,,,,,,,
10,Erik Barnes,34374,71.138,0.352,0.148,0.052,0.326,0.126,0.026,,,,,,,
11,Ricky Barnes,24846,,,,,,,,-4.29,0.57,-4.29,0.57,963.0,1.0,1.0
12,Charlie Beljan,32334,,,,,,,,4.0,0.0,4.0,0.0,,,
13,Deane Beman,01076,,,,,,,,,,,,,,
14,Daniel Berger,40026,,,,,,,,-12.0,1.0,-12.0,1.0,,,
15,Matt Bettencourt,20070,,,,,,,,,,,,,,
16,Christiaan Bezuidenhout,45522,70.79,0.201,-0.341,0.22,0.048,0.135,0.152,-18.0,1.0,-18.0,1.0,886.0,-18.0,1.0
17,Akshay Bhatia,56630,70.521,-0.017,0.301,-0.28,0.53,0.449,-0.548,,,,,,,
18,Zac Blair,40058,71.049,-0.02,-0.365,0.318,0.028,0.011,-0.048,-2.25,0.25,-2.25,0.25,,,
19,Jonas Blixt,27895,,,,,,,,-1.67,0.33,-1.67,0.33,920.0,0.0,0.0
20,Jason Bohn,24507,,,,,,,,-4.4,0.6,-4.4,0.6,,,
21,Keegan Bradley,33141,70.092,1.078,0.264,0.051,0.579,0.335,0.499,-11.0,1.0,-11.0,1.0,,,
22,Joseph Bramlett,34255,70.537,0.539,0.236,0.222,0.839,0.389,-0.3,2.0,0.0,2.0,0.0,921.0,1.0,0.0
23,Ryan Brehm,28420,73.037,-1.374,-0.361,-0.522,-1.556,-0.634,0.182,2.0,0.0,2.0,0.0,964.0,-1.0,0.0
24,Scott Brown,29479,,,,,,,,-8.43,0.57,-8.43,0.57,971.0,-2.0,0.0
25,Wesley Bryan,48084,,,,,,,,-6.5,0.5,-6.5,0.5,989.0,-1.0,0.0
26,Hayden Buckley,55708,70.537,0.261,0.695,-0.518,0.2,0.02,0.061,-10.0,1.0,-10.0,1.0,916.0,-10.0,1.0
27,Bronson Burgoon,29268,,,,,,,,-9.5,0.75,-9.5,0.75,,,
28,Bob Burns,06809,,,,,,,,,,,,,,
29,Sam Burns,47504,70.566,0.761,0.256,0.038,0.136,-0.21,0.625,6.0,0.0,6.0,0.0,,,
