,player,score,odds,tourney_rank,course_rank
173,Jon Rahm,64.58,252.0,1.0,1.0
185,Scottie Scheffler,64.599,,,
23,Patrick Cantlay,66.157,,,
54,Tony Finau,66.332,758.0,3.0,3.0
143,Rory McIlroy,66.405,,,
42,Jason Day,66.524,,,
184,Xander Schauffele,66.657,,,
96,Max Homa,66.771,,,
82,Tyrrell Hatton,66.866,,,
152,Collin Morikawa,66.917,,,
103,Sungjae Im,67.159,,,
56,Tommy Fleetwood,67.35900000000001,,,
57,Rickie Fowler,67.428,,,
121,Matt Kuchar,67.547,,,
198,Jordan Spieth,67.74,,,
99,Viktor Hovland,67.824,,,
112,Tom Kim,68.134,,,
242,Kevin Yu,68.165,,,
180,Justin Rose,68.21300000000001,,,
215,Justin Thomas,68.23100000000001,,,
30,Wyndham Clark,68.357,1850.0,57.5,57.5
113,Chris Kirk,68.429,,57.5,57.5
212,Nick Taylor,68.52799999999999,,48.0,48.0
111,Si Woo Kim,68.656,,,
93,Tom Hoge,68.72,,,
137,Hideki Matsuyama,68.771,,,
70,Ben Griffin,68.80799999999999,,,
55,Matt Fitzpatrick,68.848,,,
179,Patrick Rodgers,68.863,2950.0,10.0,10.0
19,Hayden Buckley,68.943,,44.0,44.0
147,Keith Mitchell,68.961,,,
240,Cameron Young,69.00999999999999,31917.0,,
14,Keegan Bradley,69.025,,,
34,Corey Conners,69.109,,,
139,Denny McCarthy,69.154,,,
151,Taylor Moore,69.166,,57.5,57.5
149,Taylor Montgomery,69.19,,,
214,Sahith Theegala,69.21,,24.0,24.0
104,Stephan Jaeger,69.24100000000001,3850.0,18.0,18.0
2,Byeong Hun An,69.33,,,
224,Jhonattan Vegas,69.369,,,
75,Adam Hadwin,69.419,,,
209,Adam Svensson,69.44800000000001,,72.0,72.0
134,Shane Lowry,69.449,,,
190,Robby Shelton,69.45100000000001,7100.0,,
182,Sam Ryder,69.531,,,
39,Joel Dahmen,69.55,,,
126,K.H. Lee,69.554,,,
15,Joseph Bramlett,69.57700000000001,6050.0,48.0,48.0
144,Maverick McNealy,69.587,3950.0,,
218,Brendon Todd,69.594,,45.0,45.0
174,Aaron Rai,69.632,4750.0,24.0,24.0
172,Andrew Putnam,69.63900000000001,7083.0,57.5,57.5
197,J.J. Spaun,69.667,,,
115,Kurt Kitayama,69.73100000000001,,3.0,3.0
136,Ben Martin,69.75800000000001,5933.0,57.5,57.5
202,Sam Stevens,69.78200000000001,,,
41,Cam Davis,69.786,,,
80,Brian Harman,69.839,,,
234,Danny Willett,69.95700000000001,,,
67,Will Gordon,69.967,6283.0,,
110,S.H. Kim,69.98299999999999,6600.0,,
244,Will Zalatoris,69.993,,,
21,Sam Burns,70.016,,,
166,Cameron Percy,70.027,22083.0,,
31,Eric Cole,70.028,9667.0,,
100,Mark Hubbard,70.057,9850.0,40.0,40.0
194,Alex Smalley,70.07000000000001,5583.0,7.5,7.5
239,Dylan Wu,70.08800000000001,9500.0,57.5,57.5
211,Ben Taylor,70.094,17667.0,,
157,Alex Noren,70.12,4367.0,,
186,Adam Schenk,70.128,,57.5,57.5
84,Russell Henley,70.13,,,
227,Matt Wallace,70.15700000000001,7100.0,57.5,57.5
91,Lee Hodges,70.232,6767.0,40.0,40.0
236,Gary Woodland,70.31,2683.0,24.0,24.0
43,Thomas Detry,70.32199999999999,,,
79,Nick Hardy,70.41099999999999,,,
7,Erik Barnes,70.46000000000001,,,
206,Chris Stroud,70.53,26750.0,,
160,Andrew Novak,70.539,12917.0,,
4,Aaron Baddeley,70.56500000000001,16750.0,68.0,68.0
162,Sean O'Hair,70.624,17600.0,,
11,Akshay Bhatia,70.689,10833.0,,
191,Greyson Sigg,70.74300000000001,15250.0,31.5,31.5
101,Mackenzie Hughes,70.83399999999999,,,
238,Brandon Wu,70.83500000000001,6283.0,3.0,3.0
203,Sepp Straka,70.881,,,
98,Beau Hossler,70.905,4133.0,,
169,J.T. Poston,70.922,,48.0,48.0
72,Emiliano Grillo,70.924,5500.0,31.5,31.5
178,Davis Riley,70.94399999999999,,5.0,5.0
167,Scott Piercy,70.98599999999999,15833.0,31.5,31.5
10,Christiaan Bezuidenhout,71.015,,,
89,Garrick Higgo,71.021,6683.0,,
171,Seamus Power,71.071,,,
124,Nate Lashley,71.086,10667.0,11.5,11.5
12,Zac Blair,71.094,,,
50,Austin Eckroat,71.104,14750.0,,
52,Harris English,71.109,,,
208,Justin Suh,71.177,,,
216,Davis Thompson,71.191,,,
217,Michael Thompson,71.224,,57.5,57.5
78,Harry Hall,71.277,7350.0,,
27,Kevin Chappell,71.325,17083.0,,
129,David Lipsky,71.33,8533.0,7.5,7.5
235,Aaron Wise,71.369,,7.5,7.5
141,William McGirt,71.391,60000.0,,
130,Luke List,71.394,6783.0,,
189,Adam Scott,71.429,,,
92,Charley Hoffman,71.446,13250.0,,
38,MJ Daffue,71.494,8300.0,,
