,player,score,odds,tourney_rank,course_rank
171,Jon Rahm,64.18900000000001,758.0,27.0,27.0
183,Scottie Scheffler,64.451,733.0,15.5,15.5
53,Tony Finau,65.619,2383.0,29.5,29.5
182,Xander Schauffele,66.023,1683.0,49.5,49.5
81,Tyrrell Hatton,66.03500000000001,3900.0,29.5,29.5
42,Jason Day,66.258,2700.0,1.0,1.0
23,Patrick Cantlay,66.307,1767.0,43.0,43.0
95,Max Homa,66.618,3900.0,121.5,121.5
55,Tommy Fleetwood,66.931,5933.0,62.0,62.0
102,Sungjae Im,66.973,3283.0,47.0,47.0
141,Rory McIlroy,67.036,1267.0,25.0,25.0
56,Rickie Fowler,67.271,6750.0,19.0,19.0
150,Collin Morikawa,67.327,3133.0,12.0,12.0
30,Wyndham Clark,67.611,7017.0,127.5,127.5
119,Matt Kuchar,67.81,19750.0,47.0,47.0
110,Tom Kim,67.96,,,
213,Justin Thomas,67.969,2433.0,3.0,3.0
98,Viktor Hovland,68.026,2917.0,49.5,49.5
240,Kevin Yu,68.165,,,
178,Justin Rose,68.21300000000001,12167.0,5.5,5.5
109,Si Woo Kim,68.216,9000.0,103.5,103.5
196,Jordan Spieth,68.307,3700.0,9.0,9.0
210,Nick Taylor,68.52799999999999,31667.0,121.5,121.5
111,Chris Kirk,68.57300000000001,20917.0,79.0,79.0
103,Stephan Jaeger,68.578,25500.0,,
135,Hideki Matsuyama,68.65100000000001,4933.0,17.5,17.5
34,Corey Conners,68.66,10500.0,118.5,118.5
92,Tom Hoge,68.778,22333.0,71.5,71.5
54,Matt Fitzpatrick,68.879,3100.0,,
14,Keegan Bradley,68.91,9833.0,54.0,54.0
19,Hayden Buckley,68.94500000000001,25833.0,,
137,Denny McCarthy,68.956,17667.0,98.0,98.0
177,Patrick Rodgers,68.99,31667.0,150.0,150.0
15,Joseph Bramlett,69.001,,,
2,Byeong Hun An,69.078,,65.0,65.0
11,Akshay Bhatia,69.134,,,
149,Taylor Moore,69.13799999999999,15167.0,,
124,K.H. Lee,69.15700000000001,20667.0,,
69,Ben Griffin,69.17599999999999,44667.0,,
145,Keith Mitchell,69.267,19000.0,71.5,71.5
216,Brendon Todd,69.308,31667.0,56.5,56.5
31,Eric Cole,69.327,35000.0,,
212,Sahith Theegala,69.367,8583.0,,
207,Adam Svensson,69.371,32500.0,,
238,Cameron Young,69.39099999999999,3083.0,2.0,2.0
74,Adam Hadwin,69.449,26750.0,130.0,130.0
195,J.J. Spaun,69.49499999999999,22333.0,77.5,77.5
170,Andrew Putnam,69.544,43333.0,124.5,124.5
147,Taylor Montgomery,69.563,29667.0,,
237,Dylan Wu,69.56400000000001,,,
200,Sam Stevens,69.566,,,
234,Gary Woodland,69.577,9333.0,35.0,35.0
99,Mark Hubbard,69.602,45833.0,38.5,38.5
132,Shane Lowry,69.65100000000001,8083.0,41.5,41.5
188,Robby Shelton,69.764,,,
39,Joel Dahmen,69.79400000000001,42167.0,94.0,94.0
187,Adam Scott,69.798,7700.0,36.0,36.0
209,Ben Taylor,69.857,74167.0,,
172,Aaron Rai,69.88000000000001,,147.5,147.5
236,Brandon Wu,69.911,35417.0,,
108,S.H. Kim,69.962,,,
192,Alex Smalley,69.98700000000001,45833.0,,
21,Sam Burns,70.006,4600.0,71.5,71.5
142,Maverick McNealy,70.00699999999999,44667.0,145.5,145.5
66,Will Gordon,70.01,,,
134,Ben Martin,70.024,,140.0,140.0
41,Cam Davis,70.03200000000001,19333.0,,
180,Sam Ryder,70.034,48833.0,,
232,Danny Willett,70.037,47500.0,109.0,109.0
79,Brian Harman,70.071,23417.0,103.5,103.5
83,Russell Henley,70.13,10167.0,53.0,53.0
4,Aaron Baddeley,70.14999999999999,,21.5,21.5
71,Emiliano Grillo,70.15400000000001,35917.0,45.0,45.0
184,Adam Schenk,70.18,46667.0,98.0,98.0
113,Kurt Kitayama,70.196,23167.0,132.0,132.0
169,Seamus Power,70.225,17750.0,21.5,21.5
43,Thomas Detry,70.32199999999999,33417.0,127.5,127.5
49,Austin Eckroat,70.36399999999999,,,
7,Erik Barnes,70.46000000000001,,,
122,Nate Lashley,70.471,,21.5,21.5
189,Greyson Sigg,70.497,,,
51,Harris English,70.505,18500.0,34.0,34.0
97,Beau Hossler,70.527,27083.0,127.5,127.5
155,Alex Noren,70.559,39667.0,,
158,Andrew Novak,70.57499999999999,,,
165,Scott Piercy,70.578,,83.0,83.0
225,Matt Wallace,70.6,45833.0,38.5,38.5
100,Mackenzie Hughes,70.629,38833.0,118.5,118.5
161,Ryan Palmer,70.635,,87.0,87.0
10,Christiaan Bezuidenhout,70.74499999999999,30000.0,77.5,77.5
88,Garrick Higgo,70.8,,140.0,140.0
78,Nick Hardy,70.864,41333.0,,
157,Vincent Norrman,70.876,,,
153,Matthew NeSmith,70.88199999999999,54167.0,,
160,Sean O'Hair,70.9,,90.0,90.0
90,Lee Hodges,70.905,55833.0,,
107,Michael Kim,70.937,,133.5,133.5
167,J.T. Poston,70.96,35500.0,138.0,138.0
27,Kevin Chappell,70.96000000000001,,51.0,51.0
224,Jimmy Walker,70.985,44667.0,56.5,56.5
204,Chris Stroud,70.99199999999999,,29.5,29.5
201,Sepp Straka,71.05300000000001,48833.0,144.0,144.0
162,C.T. Pan,71.1,,121.5,121.5
12,Zac Blair,71.138,,85.0,85.0
214,Davis Thompson,71.15299999999999,60000.0,,
77,Harry Hall,71.158,,,
