,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut,odds
0,Anders Albertson,49303,71.97,-0.956,-0.751,-0.12,-1.71,-0.838,0.753,,,,,,,,
1,Tyson Alexander,33408,71.618,-0.857,-0.279,0.127,-0.757,-0.557,-0.1,,,,,,,,
2,Byeong Hun An,33948,70.542,0.632,0.245,0.573,0.836,0.014,-0.204,2.71,0.57,,,,,,
3,Ryan Armour,19803,71.434,-0.458,-0.169,-0.217,-0.297,-0.027,-0.161,3.5,0.0,,,,,,
4,Aaron Baddeley,22371,70.666,0.392,-0.357,0.467,0.07,0.014,0.322,-1.0,1.0,,,,,,
5,Sangmoon Bae,28259,,,,,,,,,,,,,,,
6,Briny Baird,20498,,,,,,,,,,,,,,,
7,Erik Barnes,34374,71.138,0.352,0.148,0.052,0.326,0.126,0.026,,,,,,,,
8,Ricky Barnes,24846,,,,,,,,,,,,,,,
9,Daniel Berger,40026,,,,,,,,4.38,0.62,,,1609.0,13.0,0.0,8000.0
10,Christiaan Bezuidenhout,45522,70.823,0.16,-0.368,0.253,-0.074,0.033,0.234,3.33,0.33,,,1597.0,6.0,0.0,30000.0
11,Akshay Bhatia,56630,69.991,0.38,0.11,-0.408,0.588,0.776,-0.209,,,,,,,,
12,Zac Blair,40058,71.119,0.017,-0.38,0.392,0.016,-0.049,0.002,4.0,0.0,,,,,,
13,Jonas Blixt,27895,,,,,,,,7.5,0.0,,,,,,
14,Keegan Bradley,33141,70.404,0.827,0.311,-0.001,0.61,0.357,0.217,1.88,0.88,,,1639.0,6.0,1.0,9833.0
15,Joseph Bramlett,34255,70.459,0.611,0.233,0.183,0.846,0.43,-0.234,,,,,,,,
16,Ryan Brehm,28420,73.029,-1.332,-0.261,-0.56,-1.469,-0.587,0.137,9.0,0.0,,,1668.0,9.0,0.0,
17,Scott Brown,29479,72.647,-1.928,-0.234,0.061,-1.039,-1.02,-0.889,4.5,1.0,,,,,,
18,Wesley Bryan,48084,73.063,-3.0,-0.766,0.182,-1.893,-0.915,-1.107,10.0,0.0,,,,,,
19,Hayden Buckley,55708,70.304,0.681,0.855,-0.347,0.706,0.169,-0.024,,,,,,,,25833.0
20,Bronson Burgoon,29268,,,,,,,,8.0,1.0,,,,,,
21,Sam Burns,47504,70.766,0.778,0.299,0.079,0.031,-0.396,0.747,3.0,1.0,,,1679.0,1.0,1.0,4600.0
22,Jonathan Byrd,24925,71.446,-0.843,-0.321,0.476,-0.544,-0.835,-0.299,,,,,,,,
23,Patrick Cantlay,35450,69.659,1.976,0.903,0.085,1.406,0.388,0.57,1.17,0.83,,,1663.0,11.0,0.0,1767.0
24,Bud Cauley,34021,,,,,,,,1.0,1.0,,,,,,
25,Greg Chalmers,20593,71.95,-1.46,-0.881,-0.015,-2.08,-1.225,0.62,8.0,0.0,,,,,,
26,Cameron Champ,52372,71.903,-0.955,0.543,-0.814,-0.585,-0.46,-0.371,6.5,0.5,,,1598.0,10.0,0.0,25000.0
27,Kevin Chappell,32366,71.334,0.256,0.034,0.089,0.227,-0.005,0.029,1.75,0.75,,,,,,
28,Stewart Cink,20229,71.56,-0.508,-0.132,-0.04,-0.325,-0.099,-0.184,-2.33,1.0,,,1680.0,2.0,1.0,
29,Tim Clark,23135,,,,,,,,,,,,,,,
30,Wyndham Clark,51766,69.836,1.261,0.231,0.165,0.993,0.568,0.268,7.0,0.5,,,,,,7017.0
31,Eric Cole,47591,70.312,0.739,-0.306,0.214,0.327,0.338,0.412,,,,,,,,35000.0
32,Chad Collins,25720,,,,,,,,,,,,,,,
33,Trevor Cone,49453,71.868,-0.379,0.491,-0.448,-0.452,-0.537,0.074,,,,,,,,
34,Corey Conners,39997,70.579,0.93,0.489,-0.128,1.083,0.629,-0.154,6.25,0.5,,,1599.0,9.0,0.0,10500.0
35,Austin Cook,46435,71.494,-0.591,-0.66,0.284,-0.399,-0.034,-0.192,-2.0,1.0,,,,,,
