,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,last_season_score,last_season_cut,odds
0,Anders Albertson,49303,71.97,-0.956,-0.751,-0.12,-1.71,-0.838,0.753,,,,,,,,
1,Tyson Alexander,33408,71.444,-0.655,-0.35,0.242,-0.664,-0.556,0.009,,,,,,,,
2,Byeong Hun An,33948,70.619,0.573,0.081,0.589,0.716,0.046,-0.143,0.75,0.25,0.75,0.25,,,,
3,Ryan Armour,19803,71.422,-0.449,-0.076,-0.072,-0.256,-0.108,-0.192,1.0,0.75,1.0,0.75,,,,
4,Aaron Baddeley,22371,70.799,0.195,-0.233,0.414,0.04,-0.142,0.155,-0.17,0.5,-0.17,0.5,,,,
5,Sangmoon Bae,28259,,,,,,,,,,,,,,,
6,Briny Baird,20498,,,,,,,,,,,,,,,
7,Erik Barnes,34374,71.138,0.352,0.148,0.052,0.326,0.126,0.026,,,,,,,,
8,Ricky Barnes,24846,,,,,,,,-1.67,0.67,-1.67,0.67,,,,
9,Daniel Berger,40026,,,,,,,,-7.6,1.0,-7.6,1.0,2138.0,-8.0,1.0,
10,Christiaan Bezuidenhout,45522,71.082,-0.147,-0.412,0.431,-0.158,-0.176,0.011,-10.0,1.0,-10.0,1.0,,,,9167.0
11,Akshay Bhatia,56630,69.98,-0.082,0.002,-0.481,0.249,0.728,-0.33,,,,,,,,29500.0
12,Zac Blair,40058,71.145,0.003,-0.204,0.41,0.048,-0.158,-0.045,-0.33,1.0,-0.33,1.0,,,,
13,Jonas Blixt,27895,,,,,,,,-1.5,0.5,-1.5,0.5,,,,
14,Keegan Bradley,33141,70.415,0.877,0.311,-0.131,0.629,0.449,0.247,-2.0,1.0,-2.0,1.0,,,,7667.0
15,Joseph Bramlett,34255,70.668,0.363,0.151,0.225,0.728,0.352,-0.365,-4.0,1.0,-4.0,1.0,2159.0,-4.0,1.0,
16,Ryan Brehm,28420,73.248,-1.507,-0.3,-0.584,-1.591,-0.707,0.084,19.0,0.0,19.0,0.0,2199.0,19.0,0.0,105833.0
17,Scott Brown,29479,72.758,-2.453,-0.091,-0.492,-1.572,-0.99,-0.881,2.25,0.25,2.25,0.25,2206.0,1.0,0.0,
18,Wesley Bryan,48084,,,,,,,,-5.2,0.8,-5.2,0.8,2225.0,2.0,0.0,85000.0
19,Hayden Buckley,55708,70.454,0.484,0.897,-0.306,0.498,-0.093,-0.014,,,,,,,,24667.0
20,Bronson Burgoon,29268,,,,,,,,1.5,0.5,1.5,0.5,,,,
21,Sam Burns,47504,70.957,0.655,0.343,0.114,-0.063,-0.521,0.719,-4.67,0.67,-4.67,0.67,,,,3717.0
22,Jonathan Byrd,24925,71.655,-1.746,-0.046,0.244,-1.036,-1.234,-0.709,2.25,0.75,2.25,0.75,2160.0,6.0,1.0,
23,Patrick Cantlay,35450,69.94,1.836,0.96,0.056,1.442,0.425,0.394,-8.6,0.8,-8.6,0.8,2195.0,-13.0,1.0,1133.0
24,Bud Cauley,34021,,,,,,,,-4.5,0.75,-4.5,0.75,,,,
25,Greg Chalmers,20593,,,,,,,,6.0,0.0,6.0,0.0,,,,
26,Cameron Champ,52372,72.388,-1.744,0.166,-0.943,-1.537,-0.759,-0.208,5.0,0.0,5.0,0.0,,,,45500.0
27,Kevin Chappell,32366,71.536,0.093,-0.171,0.099,0.118,0.19,-0.025,-1.33,0.33,-1.33,0.33,,,,
28,Stewart Cink,20229,71.675,-0.619,-0.021,-0.175,-0.234,-0.038,-0.385,-3.25,0.62,-3.25,0.62,2207.0,3.0,1.0,35833.0
29,Tim Clark,23135,,,,,,,,,,,,,,,
30,Wyndham Clark,51766,70.119,0.928,0.238,0.166,0.864,0.46,0.064,-1.25,1.0,-1.25,1.0,2226.0,-6.0,1.0,10750.0
31,Eric Cole,47591,70.516,0.484,-0.358,0.078,0.003,0.283,0.482,,,,,,,,
32,Chad Collins,25720,,,,,,,,6.5,0.0,6.5,0.0,,,,
33,Trevor Cone,49453,72.046,-0.456,0.397,-0.089,-0.384,-0.692,-0.072,,,,,,,,
34,Corey Conners,39997,70.836,0.751,0.514,-0.115,0.975,0.576,-0.224,-4.0,0.5,-4.0,0.5,2123.0,-9.0,1.0,5167.0
35,Austin Cook,46435,71.436,-0.518,-0.646,0.161,-0.217,0.268,-0.301,1.25,0.25,1.25,0.25,,,,
36,Vince Covello,32982,,,,,,,,,,,,,,,
37,Ben Crane,23541,,,,,,,,0.67,1.0,0.67,1.0,,,,
38,MJ Daffue,39067,71.412,-0.276,0.432,-0.201,0.195,-0.036,-0.472,,,,,,,,
39,Joel Dahmen,34076,70.594,0.237,0.313,0.189,0.782,0.28,-0.545,-8.33,1.0,-8.33,1.0,2161.0,-9.0,1.0,13333.0
40,Brian Davis,21753,,,,,,,,2.0,0.0,2.0,0.0,,,,
41,Cam Davis,45157,71.193,0.115,0.571,-0.015,0.497,-0.059,-0.381,,,,,,,,11583.0
42,Jason Day,28089,69.717,1.903,0.34,0.349,1.29,0.601,0.613,-1.5,0.5,-1.5,0.5,,,,
43,Thomas Detry,33653,70.66,0.375,0.033,0.064,0.219,0.122,0.156,,,,,,,,23083.0
44,Luke Donald,23983,72.003,-0.208,-1.064,-0.162,-0.445,0.78,0.237,-3.38,0.62,-3.38,0.62,2177.0,-1.0,1.0,44667.0
45,Zecheng Dou,37338,71.998,-1.101,0.153,-0.086,-0.218,-0.285,-0.883,,,,,,,,
46,Jason Dufner,25686,71.962,-0.856,-0.203,0.146,0.094,0.151,-0.95,-1.71,0.71,-1.71,0.71,,,,77833.0
47,Tyler Duncan,45609,71.129,-0.392,0.432,-0.572,-0.227,-0.087,-0.164,-3.5,0.5,-3.5,0.5,2219.0,-9.0,1.0,16167.0
48,Nico Echavarria,51349,71.435,-0.91,-0.065,-0.499,-1.124,-0.559,0.214,,,,,,,,50000.0
49,Austin Eckroat,57362,71.289,0.158,0.323,-0.056,0.026,-0.24,0.132,,,,,,,,
50,Harrison Endycott,47079,71.668,-0.463,-0.136,-0.034,-0.431,-0.261,-0.032,,,,,,,,
51,Harris English,34099,70.965,0.247,-0.465,0.269,-0.24,-0.044,0.487,-1.67,0.5,-1.67,0.5,,,,15583.0
52,Matt Every,28307,,,,,,,,-0.25,0.5,-0.25,0.5,,,,
53,Tony Finau,29725,69.813,2.076,0.431,0.081,1.567,1.056,0.509,-2.33,0.67,-2.33,0.67,,,,2467.0
54,Matt Fitzpatrick,40098,70.832,0.669,0.409,0.281,0.237,-0.454,0.433,,,,,,,,2783.0
55,Tommy Fleetwood,30911,70.218,1.492,0.038,0.609,1.226,0.578,0.267,-5.67,0.67,-5.67,0.67,2220.0,-11.0,1.0,5950.0
56,Rickie Fowler,32102,69.994,1.366,0.115,0.052,1.081,0.914,0.285,2.5,0.0,2.5,0.0,2200.0,8.0,0.0,5683.0
57,Dylan Frittelli,29970,71.985,-0.467,-0.24,-0.042,-0.549,-0.267,0.083,-5.5,1.0,-5.5,1.0,2139.0,1.0,1.0,48667.0
58,Jim Furyk,10809,,,,,,,,-0.86,0.29,-0.86,0.29,2162.0,9.0,0.0,87500.0
59,Brice Garnett,29535,71.575,0.147,-0.291,0.041,-0.245,0.005,0.392,-3.67,0.67,-3.67,0.67,2110.0,5.0,0.0,
60,Robert Garrigus,24358,,,,,,,,2.67,0.0,2.67,0.0,,,,
61,Doug Ghim,52375,71.846,-0.739,-0.187,-0.083,-0.511,-0.241,-0.227,-6.5,1.0,-6.5,1.0,2140.0,-6.0,1.0,38000.0
62,Michael Gligic,32662,72.826,-1.547,0.172,-0.589,-1.15,-0.733,-0.397,4.67,0.0,4.67,0.0,2182.0,9.0,0.0,
63,Lucas Glover,25900,71.783,-0.321,0.079,0.066,0.164,0.018,-0.485,-4.5,0.88,-4.5,0.88,2178.0,-4.0,1.0,40167.0
64,Fabián Gómez,28679,,,,,,,,,,,,,,,
65,Will Gordon,56762,70.681,0.326,0.319,-0.282,0.388,0.352,-0.063,3.0,0.0,3.0,0.0,,,,
66,Tano Goya,31577,71.527,-0.562,0.153,0.239,-0.16,-0.552,-0.402,,,,,,,,
67,Brent Grant,51414,71.922,-1.29,0.483,-0.503,-0.857,-0.838,-0.433,,,,,,,,
68,Ben Griffin,54591,70.236,0.843,0.118,0.45,0.605,0.037,0.238,,,,,,,,19083.0
69,Lanto Griffin,35310,,,,,,,,1.5,0.0,1.5,0.0,2179.0,2.0,0.0,30667.0
70,Emiliano Grillo,31646,71.391,-0.293,0.362,-0.307,0.128,0.072,-0.421,-4.4,0.6,-4.4,0.6,2148.0,4.0,0.0,28833.0
71,Bill Haas,24924,71.88,-1.747,-0.029,0.506,-1.281,-1.758,-0.466,-2.38,0.62,-2.38,0.62,2113.0,0.0,1.0,
72,Chesson Hadley,34563,71.299,-0.182,-0.247,-0.612,-0.439,0.419,0.257,-0.57,0.29,-0.57,0.29,2125.0,2.0,0.0,48333.0
73,Adam Hadwin,33399,70.447,0.903,0.083,0.045,0.519,0.391,0.385,-3.0,0.71,-3.0,0.71,2101.0,-7.0,1.0,10917.0
74,James Hahn,32448,72.125,-0.495,0.305,-0.353,0.315,0.362,-0.81,2.6,0.2,2.6,0.2,2163.0,1.0,0.0,79167.0
75,Paul Haley II,35901,71.563,-0.464,-0.225,0.055,-0.501,-0.331,0.037,,,,,,,,
76,Harry Hall,57975,70.83,0.23,-0.281,0.171,-0.677,-0.567,0.907,,,,,,,,
77,Nick Hardy,47988,70.891,0.136,0.097,-0.206,0.592,0.701,-0.456,,,,,,,,29667.0
78,Brian Harman,27644,70.803,0.342,0.527,-0.146,0.107,-0.273,0.234,-4.75,0.75,-4.75,0.75,2115.0,-6.0,1.0,10083.0
79,Scott Harrington,27554,72.034,-1.176,-0.077,-0.153,-0.64,-0.41,-0.536,-5.0,1.0,-5.0,1.0,,,,
