,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut
0,Ludvig Aberg,52955,,,,,,,,,,,,,,
1,Anders Albertson,49303,,,,,,,,-6.0,1.0,-6.0,1.0,,,
2,Tyson Alexander,33408,71.844,-1.162,-0.363,0.106,-0.968,-0.54,-0.194,,,,,,,
3,Byeong Hun An,33948,70.447,0.688,0.336,0.507,0.967,0.099,-0.279,-8.5,1.0,-8.5,1.0,,,
4,Ryan Armour,19803,71.469,-0.504,-0.226,-0.234,-0.319,0.008,-0.185,-8.67,0.67,-8.67,0.67,,,
5,Arjun Atwal,21407,,,,,,,,-10.0,1.0,-10.0,1.0,,,
6,Aaron Baddeley,22371,70.615,0.404,-0.423,0.534,0.053,0.025,0.351,-3.67,0.33,-3.67,0.33,302.0,-2.0,0.0
7,Sangmoon Bae,28259,,,,,,,,,,,,,,
8,Briny Baird,20498,,,,,,,,,,,,,,
9,Craig Barlow,19824,,,,,,,,,,,,,,
10,Erik Barnes,34374,71.138,0.352,0.148,0.052,0.326,0.126,0.026,,,,,,,
11,Ricky Barnes,24846,,,,,,,,-4.0,0.0,-4.0,0.0,,,
12,Charlie Beljan,32334,,,,,,,,,,,,,,
13,Deane Beman,01076,,,,,,,,,,,,,,
14,Daniel Berger,40026,,,,,,,,,,,,,,
15,Matt Bettencourt,20070,,,,,,,,,,,,,,
16,Christiaan Bezuidenhout,45522,70.702,0.225,-0.322,0.219,0.071,0.164,0.154,-2.0,0.0,-2.0,0.0,,,
17,Akshay Bhatia,56630,70.416,0.038,0.287,-0.243,0.547,0.421,-0.509,,,,,,,
18,Zac Blair,40058,70.887,0.125,-0.33,0.353,0.161,0.045,-0.036,-8.0,1.0,-8.0,1.0,,,
19,Jonas Blixt,27895,,,,,,,,-9.0,1.0,-9.0,1.0,,,
20,Jason Bohn,24507,,,,,,,,,,,,,,
21,Keegan Bradley,33141,70.072,1.037,0.3,0.055,0.579,0.309,0.458,-10.67,1.0,-10.67,1.0,365.0,-9.0,1.0
22,Joseph Bramlett,34255,70.459,0.602,0.195,0.213,0.822,0.383,-0.22,-0.33,0.0,-0.33,0.0,354.0,2.0,0.0
23,Ryan Brehm,28420,73.013,-1.372,-0.408,-0.536,-1.617,-0.599,0.245,-4.67,0.67,-4.67,0.67,397.0,-7.0,1.0
24,Scott Brown,29479,,,,,,,,-5.0,0.33,-5.0,0.33,,,
25,Wesley Bryan,48084,,,,,,,,-10.0,1.0,-10.0,1.0,430.0,-7.0,1.0
26,Hayden Buckley,55708,70.537,0.261,0.695,-0.518,0.2,0.02,0.061,-12.0,1.0,-12.0,1.0,349.0,-12.0,1.0
27,Bronson Burgoon,29268,,,,,,,,-5.33,0.33,-5.33,0.33,,,
28,Bob Burns,06809,,,,,,,,,,,,,,
29,Sam Burns,47504,70.566,0.761,0.256,0.038,0.136,-0.21,0.625,-11.0,1.0,-11.0,1.0,,,
30,Jonathan Byrd,24925,71.273,-0.275,-0.243,0.579,-0.057,-0.531,-0.218,-6.0,0.5,-6.0,0.5,355.0,2.0,0.0
31,Chad Campbell,12510,,,,,,,,,,,,,,
32,Patrick Cantlay,35450,69.247,2.061,0.88,0.108,1.567,0.503,0.494,-21.0,1.0,-21.0,1.0,393.0,-21.0,1.0
33,Bud Cauley,34021,,,,,,,,-7.0,1.0,-7.0,1.0,,,
34,Greg Chalmers,20593,,,,,,,,-4.0,0.0,-4.0,0.0,,,
35,Cameron Champ,52372,71.767,-0.878,0.419,-0.771,-0.49,-0.344,-0.388,-8.0,0.75,-8.0,0.75,322.0,-13.0,1.0
36,Kevin Chappell,32366,71.388,0.202,0.096,0.087,0.371,0.06,-0.169,-3.5,0.5,-3.5,0.5,366.0,0.0,0.0
37,Daniel Chopra,20850,,,,,,,,,,,,,,
38,Stewart Cink,20229,71.565,-0.521,-0.102,-0.017,-0.377,-0.146,-0.144,-5.5,1.0,-5.5,1.0,408.0,-7.0,1.0
39,Tim Clark,23135,,,,,,,,,,,,,,
40,Wyndham Clark,51766,69.627,1.401,0.328,0.217,1.008,0.473,0.393,-15.5,1.0,-15.5,1.0,431.0,-17.0,1.0
41,Michael Clark II,12388,,,,,,,,,,,,,,
42,Eric Cole,47591,70.027,0.972,-0.243,0.29,0.443,0.343,0.529,,,,,,,
43,Chad Collins,25720,,,,,,,,-6.0,1.0,-6.0,1.0,,,
44,Trevor Cone,49453,71.934,-0.415,0.467,-0.383,-0.464,-0.597,0.05,,,,,,,
45,Corey Conners,39997,70.297,1.024,0.511,-0.034,1.176,0.64,-0.152,-2.0,0.0,-2.0,0.0,,,
46,Austin Cook,46435,71.651,-0.775,-0.667,0.236,-0.507,-0.105,-0.268,-5.25,0.5,-5.25,0.5,303.0,-7.0,1.0
47,Chris Couch,11123,,,,,,,,,,,,,,
48,Vince Covello,32982,,,,,,,,,,,,,,
49,Ben Crane,23541,,,,,,,,,,,,,,
50,Ben Curtis,22621,,,,,,,,,,,,,,
51,MJ Daffue,39067,71.57,-0.467,0.364,-0.285,-0.087,-0.094,-0.38,,,,,,,
52,Joel Dahmen,34076,71.0,-0.415,0.098,0.082,0.228,-0.003,-0.644,-4.5,0.5,-4.5,0.5,356.0,3.0,0.0
53,Robert Damron,19881,,,,,,,,,,,,,,
54,Brian Davis,21753,,,,,,,,,,,,,,
55,Cam Davis,45157,70.769,0.263,0.661,0.071,0.645,0.038,-0.382,,,,,,,
56,Jason Day,28089,69.816,1.475,0.396,0.314,0.963,0.269,0.512,-10.33,0.67,-10.33,0.67,357.0,-14.0,1.0
57,Brendon de Jonge,23638,,,,,,,,,,,,,,
58,Jay Delsing,01261,,,,,,,,,,,,,,
59,Thomas Detry,33653,70.539,0.405,0.013,0.132,0.215,0.043,0.19,,,,,,,
60,Luke Donald,23983,71.521,-0.088,-0.83,0.132,-0.491,0.336,0.403,-7.0,0.75,-7.0,0.75,373.0,-8.0,1.0
61,Zecheng Dou,37338,71.57,-0.637,0.132,-0.037,-0.172,-0.162,-0.465,,,,,,,
62,Jason Dufner,25686,72.269,-1.214,-0.22,0.105,-0.18,0.154,-1.033,-2.0,0.0,-2.0,0.0,,,
63,Tyler Duncan,45609,71.436,-0.752,0.257,-0.513,-0.386,-0.142,-0.366,-6.5,0.75,-6.5,0.75,422.0,-9.0,1.0
64,Nico Echavarria,51349,71.498,-0.906,-0.05,-0.277,-0.998,-0.621,0.092,,,,,,,
65,Austin Eckroat,57362,70.563,0.735,0.412,0.086,0.579,0.034,0.156,2.0,0.0,2.0,0.0,,,
66,Ernie Els,06522,,,,,,,,6.0,0.0,6.0,0.0,,,
67,Harrison Endycott,47079,71.478,-0.234,-0.175,0.025,-0.409,-0.373,0.176,,,,,,,
68,Harris English,34099,70.571,0.481,-0.337,0.295,-0.022,0.011,0.503,-5.0,0.5,-5.0,0.5,350.0,-2.0,0.0
69,Matt Every,28307,,,,,,,,-0.5,0.0,-0.5,0.0,,,
70,Brad Faxon,01329,,,,,,,,,,,,,,
71,Tony Finau,29725,69.638,1.605,0.336,0.263,1.606,0.866,-0.001,-17.5,1.0,-17.5,1.0,423.0,-26.0,1.0
72,Matt Fitzpatrick,40098,70.135,1.145,0.266,0.291,0.625,0.041,0.521,,,,,,,
73,Tommy Fleetwood,30911,69.449,1.85,0.306,0.414,1.41,0.474,0.44,,,,,,,
74,Rickie Fowler,32102,69.436,1.67,0.174,0.311,1.294,0.725,0.376,-7.5,0.75,-7.5,0.75,398.0,3.0,0.0
75,Ryan Fox,29936,,,,,,,,,,,,,,
76,Robin Freeman,01374,,,,,,,,,,,,,,
77,Dylan Frittelli,29970,72.263,-1.009,-0.449,-0.033,-1.084,-0.413,0.075,-3.0,0.33,-3.0,0.33,333.0,2.0,0.0
78,Jim Furyk,10809,,,,,,,,,,,,,,
79,Brice Garnett,29535,71.57,0.038,-0.245,0.114,-0.309,-0.255,0.347,-5.33,0.33,-5.33,0.33,311.0,-2.0,0.0
80,Robert Garrigus,24358,,,,,,,,4.0,0.0,4.0,0.0,399.0,4.0,0.0
81,Ryan Gerard,59018,71.226,-0.208,-0.189,-0.059,0.182,0.203,-0.39,,,,,,,
82,Doug Ghim,52375,71.113,0.131,0.076,0.155,0.331,0.017,-0.2,-2.0,0.33,-2.0,0.33,334.0,6.0,0.0
83,Michael Gligic,32662,72.611,-1.222,0.355,-0.508,-0.859,-0.51,-0.363,-3.33,0.33,-3.33,0.33,377.0,-1.0,0.0
84,Lucas Glover,25900,71.853,-0.494,0.209,-0.082,0.287,0.24,-0.781,-7.67,0.67,-7.67,0.67,374.0,-2.0,0.0
85,Fabián Gómez,28679,,,,,,,,,,,,,,
86,Will Gordon,56762,70.756,0.233,0.509,-0.409,0.294,0.286,-0.06,0.5,0.0,0.5,0.0,,,
87,Jason Gore,22892,,,,,,,,,,,,,,
88,David Gossett,23338,,,,,,,,,,,,,,
89,Tano Goya,31577,71.449,-0.443,0.09,0.15,-0.184,-0.458,-0.258,,,,,,,
90,Brent Grant,51414,72.042,-1.286,0.688,-0.535,-0.484,-0.541,-0.802,,,,,,,
91,Nathan Green,23718,,,,,,,,,,,,,,
92,Ben Griffin,54591,70.365,0.568,0.008,0.325,0.348,-0.01,0.22,,,,,,,
93,Lanto Griffin,35310,,,,,,,,-12.0,1.0,-12.0,1.0,,,
94,Emiliano Grillo,31646,70.623,0.487,0.251,-0.239,0.449,0.363,0.038,-5.5,0.5,-5.5,0.5,,,
95,Bill Haas,24924,71.944,-1.202,0.076,0.065,-1.021,-1.096,-0.181,-1.0,0.0,-1.0,0.0,313.0,-1.0,0.0
96,Chesson Hadley,34563,71.174,-0.062,-0.186,-0.465,-0.34,0.327,0.278,-2.25,0.25,-2.25,0.25,324.0,0.0,0.0
97,Adam Hadwin,33399,70.48,0.702,-0.024,0.059,0.385,0.362,0.317,-8.33,0.67,-8.33,0.67,304.0,-10.0,1.0
98,James Hahn,32448,71.721,-0.256,0.204,-0.237,0.098,0.094,-0.354,1.0,0.0,1.0,0.0,358.0,0.0,0.0
99,Paul Haley II,35901,71.631,-0.713,-0.373,0.041,-0.716,-0.416,0.003,,,,,,,
100,Harry Hall,57975,70.646,0.384,-0.237,0.321,-0.321,-0.377,0.705,,,,,,,
101,Nick Hardy,47988,70.831,-0.005,0.136,-0.306,0.174,0.37,-0.179,2.0,0.0,2.0,0.0,388.0,2.0,0.0
102,Brian Harman,27644,70.36,0.585,0.264,0.003,0.321,-0.016,0.264,-3.0,0.0,-3.0,0.0,,,
103,Scott Harrington,27554,72.086,-1.165,0.027,-0.2,-0.491,-0.367,-0.674,-0.5,0.5,-0.5,0.5,,,
