,player,score,odds,tourney_rank,course_rank
229,Scottie Scheffler,63.641000000000005,600.0,8.5,8.5
215,Jon Rahm,64.603,717.0,5.0,5.0
103,Tyrrell Hatton,65.87899999999999,2500.0,18.0,18.0
31,Patrick Cantlay,65.893,950.0,1.0,1.0
228,Xander Schauffele,65.922,1217.0,31.5,31.5
175,Rory McIlroy,66.215,1400.0,15.0,15.0
70,Tony Finau,66.405,,14.0,14.0
55,Jason Day,66.491,2783.0,24.0,24.0
118,Max Homa,66.855,,21.5,21.5
72,Tommy Fleetwood,67.039,,152.5,152.5
73,Rickie Fowler,67.05,3583.0,25.0,25.0
121,Viktor Hovland,67.102,1967.0,148.5,148.5
188,Collin Morikawa,67.117,2450.0,57.0,57.0
224,Justin Rose,67.477,,4.0,4.0
125,Sungjae Im,67.56899999999999,3750.0,81.0,81.0
39,Wyndham Clark,67.758,6117.0,148.5,148.5
145,Matt Kuchar,67.895,8583.0,12.0,12.0
136,Tom Kim,68.08999999999999,,,
299,Kevin Yu,68.165,,,
135,Si Woo Kim,68.183,5333.0,48.0,48.0
44,Corey Conners,68.269,4333.0,104.0,104.0
263,Justin Thomas,68.272,2900.0,66.5,66.5
167,Hideki Matsuyama,68.37,3583.0,41.0,41.0
244,Jordan Spieth,68.425,3583.0,10.5,10.5
137,Chris Kirk,68.684,11750.0,80.0,80.0
20,Keegan Bradley,68.71,7600.0,62.5,62.5
128,Stephan Jaeger,68.77,15833.0,,
71,Matt Fitzpatrick,68.842,3667.0,,
260,Nick Taylor,68.842,,124.5,124.5
2,Byeong Hun An,68.862,,21.5,21.5
161,Shane Lowry,68.879,5417.0,35.0,35.0
115,Tom Hoge,68.931,17083.0,98.5,98.5
41,Eric Cole,68.986,24083.0,,
221,Patrick Rodgers,69.007,17500.0,90.5,90.5
170,Denny McCarthy,69.036,10667.0,106.0,106.0
25,Hayden Buckley,69.09299999999999,18333.0,,
21,Joseph Bramlett,69.122,32083.0,,
139,Kurt Kitayama,69.13499999999999,12417.0,114.0,114.0
54,Cam Davis,69.14999999999999,11333.0,,
150,K.H. Lee,69.15700000000001,13000.0,,
262,Sahith Theegala,69.20899999999999,5250.0,21.5,21.5
16,Akshay Bhatia,69.22,30833.0,,
91,Ben Griffin,69.3,34167.0,,
96,Adam Hadwin,69.30199999999999,13417.0,79.0,79.0
256,Adam Svensson,69.358,17000.0,114.0,114.0
183,Keith Mitchell,69.366,13000.0,130.0,130.0
233,Adam Scott,69.40899999999999,5417.0,16.0,16.0
266,Brendon Todd,69.465,20000.0,75.5,75.5
214,Andrew Putnam,69.468,21667.0,137.5,137.5
297,Cameron Young,69.492,3833.0,159.5,159.5
239,Alex Smalley,69.51,18333.0,159.5,159.5
187,Taylor Moore,69.543,,166.5,166.5
216,Aaron Rai,69.566,19333.0,48.0,48.0
122,Mark Hubbard,69.622,28750.0,159.5,159.5
293,Gary Woodland,69.62299999999999,9667.0,53.0,53.0
234,Robby Shelton,69.7,34167.0,75.5,75.5
249,Sam Stevens,69.72500000000001,31250.0,,
185,Taylor Montgomery,69.741,19167.0,,
243,J.J. Spaun,69.78999999999999,22500.0,114.0,114.0
296,Dylan Wu,69.809,,,
106,Russell Henley,69.836,4917.0,48.0,48.0
93,Emiliano Grillo,69.846,12667.0,36.0,36.0
101,Brian Harman,69.864,11333.0,58.5,58.5
58,Thomas Detry,69.899,20417.0,,
5,Aaron Baddeley,69.93100000000001,,71.5,71.5
28,Sam Burns,69.956,4333.0,135.5,135.5
85,Will Gordon,69.95899999999999,30833.0,,
230,Adam Schenk,69.972,23250.0,84.5,84.5
250,Sepp Straka,69.99199999999999,16667.0,165.0,165.0
64,Austin Eckroat,70.014,31667.0,,
295,Brandon Wu,70.01400000000001,29583.0,172.5,172.5
165,Ben Martin,70.10300000000001,,37.0,37.0
134,S.H. Kim,70.184,42500.0,,
259,Ben Taylor,70.224,68333.0,,
67,Harris English,70.242,11583.0,82.0,82.0
51,Joel Dahmen,70.27,45000.0,155.0,155.0
177,Maverick McNealy,70.33099999999999,,175.5,175.5
212,Seamus Power,70.339,17917.0,130.0,130.0
15,Christiaan Bezuidenhout,70.375,15833.0,104.0,104.0
194,Alex Noren,70.396,27917.0,,
191,Matt NeSmith,70.402,26667.0,,
197,Andrew Novak,70.416,,,
290,Danny Willett,70.44699999999999,44167.0,94.5,94.5
133,Michael Kim,70.45400000000001,,141.5,141.5
9,Erik Barnes,70.46000000000001,,,
207,Scott Piercy,70.501,,145.5,145.5
226,Sam Ryder,70.509,43333.0,104.0,104.0
148,Nate Lashley,70.53,,141.5,141.5
113,Lee Hodges,70.55799999999999,34167.0,,
120,Beau Hossler,70.589,17917.0,71.5,71.5
99,Harry Hall,70.63,,,
203,Ryan Palmer,70.65299999999999,,141.5,141.5
196,Vincent Norrman,70.66600000000001,,,
123,Mackenzie Hughes,70.701,30833.0,102.0,102.0
235,Greyson Sigg,70.708,,,
281,Matt Wallace,70.76,36667.0,54.5,54.5
210,J.T. Poston,70.88300000000001,22167.0,137.5,137.5
252,Kevin Streelman,70.89,20750.0,10.5,10.5
199,Sean O'Hair,70.9,,124.5,124.5
100,Nick Hardy,70.93,40000.0,,
280,Jimmy Walker,70.94800000000001,,114.0,114.0
35,Kevin Chappell,70.96000000000001,,62.5,62.5
255,Justin Suh,70.96300000000001,21250.0,94.5,94.5
253,Chris Stroud,70.99199999999999,,8.5,8.5
264,Davis Thompson,71.032,50000.0,,
111,Garrick Higgo,71.111,35833.0,31.5,31.5
114,Charley Hoffman,71.17999999999999,,122.0,122.0
206,Cameron Percy,71.19,,,
156,David Lipsky,71.217,43333.0,75.5,75.5
143,Satoshi Kodaira,71.238,,114.0,114.0
220,Davis Riley,71.309,25417.0,18.0,18.0
205,Taylor Pendrith,71.332,30000.0,,
265,Michael Thompson,71.368,,75.5,75.5
157,Luke List,71.382,40833.0,88.0,88.0
225,Kevin Roy,71.449,,,
298,Carson Young,71.49300000000001,3833.0,,
78,Brice Garnett,71.586,,69.0,69.0
198,Augusto Núñez,71.645,,,
17,Zac Blair,71.649,,98.5,98.5
110,Kramer Hickok,71.65899999999999,,166.5,166.5
164,Peter Malnati,71.726,57500.0,89.0,89.0
271,Kevin Tway,71.77900000000001,,159.5,159.5
97,James Hahn,71.81200000000001,,48.0,48.0
292,Aaron Wise,71.81700000000001,,21.5,21.5
140,Patton Kizzire,71.855,,127.5,127.5
81,Doug Ghim,71.887,,159.5,159.5
119,Billy Horschel,71.931,18167.0,39.0,39.0
247,Scott Stallings,71.974,40000.0,121.0,121.0
50,MJ Daffue,71.99300000000001,59000.0,,
274,Erik van Rooyen,72.052,,124.5,124.5
160,Justin Lower,72.105,71667.0,,
88,Tano Goya,72.109,,,
95,Chesson Hadley,72.114,,52.0,52.0
186,Ryan Moore,72.169,,66.5,66.5
59,Luke Donald,72.17,83333.0,107.0,107.0
60,Zecheng Dou,72.18799999999999,,,
300,Carl Yuan,72.206,,,
241,Austin Smotherman,72.207,,,
83,Lucas Glover,72.232,57500.0,84.5,84.5
184,Francesco Molinari,72.282,39167.0,13.0,13.0
3,Ryan Armour,72.30499999999999,,31.5,31.5
158,Adam Long,72.31,57500.0,141.5,141.5
195,Henrik Norlander,72.318,,84.5,84.5
37,Stewart Cink,72.34,47500.0,127.5,127.5
217,Chad Ramey,72.43100000000001,46667.0,,
45,Austin Cook,72.495,,62.5,62.5
155,David Lingmerth,72.501,67500.0,43.0,43.0
62,Tyler Duncan,72.512,,171.0,171.0
286,Kyle Westmoreland,72.521,,,
218,Chez Reavie,72.583,40833.0,94.5,94.5
189,Trey Mullinax,72.60600000000001,59167.0,169.0,169.0
236,Webb Simpson,72.624,,75.5,75.5
66,Harrison Endycott,72.696,,,
257,Callum Tarren,72.711,,,
98,Paul Haley II,72.713,,,
142,Russell Knox,72.719,,87.0,87.0
43,Trevor Cone,72.74,,,
146,Martin Laird,72.85300000000001,,75.5,75.5
130,Zach Johnson,72.883,70000.0,94.5,94.5
29,Jonathan Byrd,72.969,,31.5,31.5
219,Doc Redman,73.05,,135.5,135.5
1,Tyson Alexander,73.098,,,
108,Lucas Herbert,73.131,15750.0,84.5,84.5
251,Robert Streb,73.185,,54.5,54.5
61,Jason Dufner,73.208,125000.0,27.5,27.5
102,Scott Harrington,73.29400000000001,,152.5,152.5
232,Matthias Schwab,73.306,,169.0,169.0
63,Nico Echavarria,73.321,65000.0,,
34,Cameron Champ,73.40899999999999,,159.5,159.5
231,Matti Schmid,73.437,,,
285,Richy Werenski,73.606,,159.5,159.5
180,Troy Merritt,73.632,75000.0,100.5,100.5
284,Trevor Werbylo,73.637,,,
131,Sung Kang,73.67299999999999,,164.0,164.0
109,Jim Herman,73.674,,58.5,58.5
193,S.Y. Noh,73.712,,,
149,Hank Lebioda,74.14,,,
76,Dylan Frittelli,74.167,93333.0,124.5,124.5
89,Brent Grant,74.181,,,
268,Martin Trainer,74.18900000000001,,175.5,175.5
94,Bill Haas,74.251,,38.0,38.0
254,Brian Stuard,74.26,,100.5,100.5
82,Michael Gligic,74.279,,,
112,Harry Higgs,74.95800000000001,,174.0,174.0
169,Brandon Matthews,74.999,,,
248,Kyle Stanley,75.435,,7.0,7.0
147,Andrew Landry,75.62700000000001,,148.5,148.5
144,Kelly Kraft,75.719,,114.0,114.0
22,Ryan Brehm,75.76899999999999,,172.5,172.5
282,Nick Watney,76.064,,114.0,114.0
227,Rory Sabbatini,76.36999999999999,,27.5,27.5
174,Max McGreevy,77.038,,,
138,Kevin Kisner,77.264,95833.0,26.0,26.0
0,Anders Albertson,,,,
4,Arjun Atwal,,,,
6,Sangmoon Bae,,,,
7,Briny Baird,,,,
8,Craig Barlow,,,,
10,Ricky Barnes,,,40.0,40.0
11,Charlie Beljan,,,,
12,Deane Beman,,,,
13,Daniel Berger,,,69.0,69.0
14,Matt Bettencourt,,,,
18,Jonas Blixt,,,48.0,48.0
19,Jason Bohn,,,48.0,48.0
23,Scott Brown,,,65.0,65.0
24,Wesley Bryan,,,18.0,18.0
26,Bronson Burgoon,,,114.0,114.0
27,Bob Burns,,,,
30,Chad Campbell,,,,
32,Bud Cauley,,,56.0,56.0
33,Greg Chalmers,,,62.5,62.5
36,Daniel Chopra,,,,
38,Tim Clark,,,,
40,Michael Clark II,,,,
42,Chad Collins,,,,
46,Chris Couch,,,,
47,Vince Covello,,,,
48,Ben Crane,,,,
49,Ben Curtis,,,,
52,Robert Damron,,,,
53,Brian Davis,,,,
56,Brendon de Jonge,,,,
57,Jay Delsing,,,,
65,Ernie Els,,,132.0,132.0
68,Matt Every,,,148.5,148.5
69,Brad Faxon,,,,
74,Ryan Fox,,14167.0,114.0,114.0
75,Robin Freeman,,,,
77,Jim Furyk,,,60.0,60.0
79,Robert Garrigus,,,,
80,Ryan Gerard,,,,
84,Fabián Gómez,,,,
86,Jason Gore,,,,
87,David Gossett,,,,
90,Nathan Green,,,,
92,Lanto Griffin,,55833.0,141.5,141.5
104,J.P. Hayes,,,,
105,David Hearn,,,42.0,42.0
107,J.J. Henry,,,,
116,Nicolai Hojgaard,,21250.0,,
117,J.B. Holmes,,,44.0,44.0
124,John Huh,,,6.0,6.0
126,Trevor Immelman,,,,
127,Tony Jacklin,,,,
129,Richard Johnson,,,,
132,Smylie Kaufman,,,31.5,31.5
141,Philip Knowles,,,,
151,Min Woo Lee,,,141.5,141.5
152,Ian Leggatt,,,,
153,Justin Leonard,,,,
154,Nicholas Lindheim,,,,
159,Davis Love III,,,130.0,130.0
162,Will MacKenzie,,,152.5,152.5
163,Hunter Mahan,,,152.5,152.5
166,Shigeki Maruyama,,,,
168,Troy Matteson,,,,
171,Tyler McCumber,,,114.0,114.0
172,William McGirt,,116667.0,90.5,90.5
173,Jim McGovern,,,,
176,Parker McLachlin,,,,
178,George McNeill,,,2.5,2.5
179,John Merrick,,,,
181,Shaun Micheel,,,,
182,Johnny Miller,,,,
190,Grayson Murray,,,114.0,114.0
192,Jack Nicklaus,,,,
200,Arron Oberholser,,,,
201,Joe Ogilvie,,,,
202,Geoff Ogilvy,,,2.5,2.5
204,C.T. Pan,,,145.5,145.5
208,Gary Player,,,,
209,D.A. Points,,,133.5,133.5
211,"Ted Potter, Jr.",,,,
213,Ted Purdy,,,,
222,Chi Chi Rodriguez,,,,
223,John Rollins,,,,
237,Vijay Singh,,,94.5,94.5
238,Heath Slocum,,,,
240,Chris Smith,,,,
242,Brandt Snedeker,,80000.0,159.5,159.5
245,Mike Springer,,,,
246,Kevin Stadler,,,,
258,Phil Tataurangi,,,,
261,Vaughn Taylor,,,120.0,120.0
267,D.J. Trahan,,,,
269,Lee Trevino,,,,
270,Marc Turnesa,,,,
272,Omar Uresti,,,,
273,Bo Van Pelt,,,31.5,31.5
275,Jhonattan Vegas,,,94.5,94.5
276,Camilo Villegas,,,108.0,108.0
277,Lanny Wadkins,,,,
278,Johnson Wagner,,,133.5,133.5
279,Grant Waite,,,,
283,Boo Weekley,,,169.0,169.0
287,Vince Whaley,,,,
288,Charlie Wi,,,,
289,Tim Wilkinson,,,,
291,Garrett Willis,,,,
294,Tiger Woods,,,69.0,69.0
301,Will Zalatoris,,,48.0,48.0
