,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut,odds
0,Anders Albertson,49303,,,,,,,,,,,,,,,
1,Tyson Alexander,33408,71.584,-0.848,-0.291,0.202,-0.748,-0.577,-0.1,,,,,,,,
2,Byeong Hun An,33948,70.452,0.663,0.294,0.545,0.927,0.088,-0.264,-2.5,0.67,-2.14,0.57,,,,
3,Ryan Armour,19803,71.434,-0.458,-0.169,-0.217,-0.297,-0.027,-0.161,-2.0,0.67,-1.5,0.5,,,,
4,Arjun Atwal,21407,,,,,,,,,,,,,,,
5,Aaron Baddeley,22371,70.534,0.468,-0.41,0.478,0.101,0.067,0.367,0.67,0.33,1.25,0.25,,,,
6,Sangmoon Bae,28259,,,,,,,,,,,,,,,
7,Briny Baird,20498,,,,,,,,,,,,,,,
8,Craig Barlow,19824,,,,,,,,,,,,,,,
9,Erik Barnes,34374,71.138,0.352,0.148,0.052,0.326,0.126,0.026,,,,,,,,
10,Ricky Barnes,24846,,,,,,,,-1.5,0.5,-1.5,0.5,,,,
11,Charlie Beljan,32334,,,,,,,,,,,,,,,
12,Deane Beman,01076,,,,,,,,,,,,,,,
13,Daniel Berger,40026,,,,,,,,0.5,0.5,0.5,0.5,1387.0,-6.0,1.0,
14,Matt Bettencourt,20070,,,,,,,,,,,,,,,
15,Christiaan Bezuidenhout,45522,70.646,0.24,-0.334,0.233,0.079,0.132,0.161,2.5,1.0,2.5,1.0,,,,15833.0
16,Akshay Bhatia,56630,70.006,0.303,0.156,-0.325,0.605,0.652,-0.302,,,,,,,,30833.0
17,Zac Blair,40058,71.257,-0.214,-0.394,0.319,-0.123,-0.102,-0.092,2.25,0.75,3.6,0.6,,,,
18,Jonas Blixt,27895,,,,,,,,-1.0,0.67,-1.0,0.67,,,,
19,Jason Bohn,24507,,,,,,,,-1.0,1.0,-1.0,1.0,,,,
20,Keegan Bradley,33141,70.276,0.863,0.326,0.01,0.618,0.367,0.245,0.0,0.62,-0.44,0.67,1411.0,2.0,1.0,7600.0
21,Joseph Bramlett,34255,70.479,0.548,0.214,0.156,0.808,0.438,-0.259,,,4.0,0.0,,,,32083.0
22,Ryan Brehm,28420,73.029,-1.332,-0.261,-0.56,-1.469,-0.587,0.137,12.0,0.0,12.0,0.0,1441.0,12.0,0.0,
23,Scott Brown,29479,,,,,,,,0.4,0.2,0.4,0.2,,,,
24,Wesley Bryan,48084,,,,,,,,-3.0,1.0,-3.0,1.0,,,,
25,Hayden Buckley,55708,70.213,0.669,0.803,-0.417,0.522,0.066,0.146,,,,,,,,18333.0
26,Bronson Burgoon,29268,,,,,,,,3.0,0.0,2.0,0.5,,,,
27,Bob Burns,06809,,,,,,,,,,,,,,,
