,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut
0,Ludvig Aberg,52955,,,,,,,,,,,,,,
1,Anders Albertson,49303,,,,,,,,,,,,,,
2,Tyson Alexander,33408,71.936,-1.215,-0.398,0.088,-0.986,-0.531,-0.229,,,,,,,
3,Byeong Hun An,33948,70.392,0.622,0.328,0.498,0.855,0.041,-0.233,2.83,0.67,2.0,0.0,,,
4,Ryan Armour,19803,71.55,-0.568,-0.214,-0.225,-0.328,-0.024,-0.24,7.0,0.0,,,,,
5,Arjun Atwal,21407,,,,,,,,,,,,,,
6,Aaron Baddeley,22371,70.707,0.358,-0.426,0.543,-0.011,-0.002,0.369,1.0,1.0,,,,,
7,Sangmoon Bae,28259,,,,,,,,,,,,,,
8,Briny Baird,20498,,,,,,,,,,,,,,
9,Craig Barlow,19824,,,,,,,,,,,,,,
10,Erik Barnes,34374,71.138,0.352,0.148,0.052,0.326,0.126,0.026,,,,,,,
11,Ricky Barnes,24846,,,,,,,,,,,,,,
12,Charlie Beljan,32334,,,,,,,,,,,,,,
13,Deane Beman,01076,,,,,,,,,,,,,,
14,Daniel Berger,40026,,,,,,,,0.25,0.5,5.0,0.0,,,
15,Matt Bettencourt,20070,,,,,,,,,,,,,,
16,Christiaan Bezuidenhout,45522,70.782,0.186,-0.31,0.194,0.055,0.126,0.131,0.67,0.67,-2.0,1.0,576.0,-2.0,1.0
17,Akshay Bhatia,56630,70.497,0.065,0.276,-0.251,0.585,0.499,-0.519,,,,,,,
18,Zac Blair,40058,71.056,-0.008,-0.317,0.278,0.055,0.076,-0.062,,,,,,,
19,Jonas Blixt,27895,,,,,,,,5.5,0.0,2.0,0.0,,,
20,Jason Bohn,24507,,,,,,,,,,,,,,
21,Keegan Bradley,33141,70.092,1.078,0.264,0.051,0.579,0.335,0.499,2.83,0.33,3.0,0.0,611.0,3.0,0.0
22,Joseph Bramlett,34255,70.58,0.485,0.22,0.223,0.786,0.338,-0.301,,,,,,,
23,Ryan Brehm,28420,73.012,-1.369,-0.357,-0.528,-1.513,-0.577,0.145,,,,,,,
24,Scott Brown,29479,,,,,,,,,,,,,,
25,Wesley Bryan,48084,,,,,,,,12.0,0.0,,,,,
26,Hayden Buckley,55708,70.537,0.261,0.695,-0.518,0.2,0.02,0.061,,,,,,,
27,Bronson Burgoon,29268,,,,,,,,4.0,0.0,,,,,
28,Bob Burns,06809,,,,,,,,,,,,,,
29,Sam Burns,47504,70.448,0.761,0.256,0.038,0.136,-0.21,0.625,1.0,1.0,-6.0,1.0,637.0,-6.0,1.0
30,Jonathan Byrd,24925,71.415,-0.439,-0.275,0.605,-0.231,-0.696,-0.207,,,,,,,
31,Chad Campbell,12510,,,,,,,,,,,,,,
32,Patrick Cantlay,35450,69.276,2.061,0.88,0.108,1.567,0.503,0.494,-3.5,0.75,-12.0,1.0,627.0,-12.0,1.0
33,Bud Cauley,34021,,,,,,,,,,,,,,
34,Greg Chalmers,20593,,,,,,,,9.0,1.0,-3.0,1.0,,,
35,Cameron Champ,52372,71.713,-0.751,0.425,-0.736,-0.363,-0.257,-0.389,,,,,,,
36,Kevin Chappell,32366,71.433,0.076,0.063,0.109,0.451,0.2,-0.375,2.0,0.67,,,,,
37,Daniel Chopra,20850,,,,,,,,,,,,,,
38,Stewart Cink,20229,71.565,-0.521,-0.102,-0.017,-0.377,-0.146,-0.144,0.83,0.5,-1.0,0.5,638.0,5.0,0.0
39,Tim Clark,23135,,,,,,,,,,,,,,
40,Wyndham Clark,51766,69.596,1.401,0.328,0.217,1.008,0.473,0.393,1.0,1.0,1.0,1.0,661.0,1.0,1.0
41,Michael Clark II,12388,,,,,,,,,,,,,,
42,Eric Cole,47591,70.043,0.949,-0.27,0.286,0.452,0.383,0.497,,,,,,,
43,Chad Collins,25720,,,,,,,,,,,,,,
44,Trevor Cone,49453,71.855,-0.291,0.524,-0.385,-0.273,-0.484,-0.019,,,,,,,
45,Corey Conners,39997,70.201,1.024,0.511,-0.034,1.176,0.64,-0.152,-2.33,0.67,-8.0,1.0,577.0,-8.0,1.0
46,Austin Cook,46435,71.765,-0.884,-0.683,0.283,-0.62,-0.232,-0.264,-4.0,1.0,,,,,
47,Chris Couch,11123,,,,,,,,,,,,,,
48,Vince Covello,32982,,,,,,,,,,,,,,
49,Ben Crane,23541,,,,,,,,,,,,,,
50,Ben Curtis,22621,,,,,,,,,,,,,,
51,MJ Daffue,39067,71.454,-0.251,0.415,-0.222,-0.089,-0.211,-0.162,,,,,,,
52,Joel Dahmen,34076,71.075,-0.445,0.089,0.013,0.191,0.015,-0.636,3.0,0.5,,,,,
53,Robert Damron,19881,,,,,,,,,,,,,,
54,Brian Davis,21753,,,,,,,,,,,,,,
55,Cam Davis,45157,70.739,0.381,0.641,0.052,0.704,0.115,-0.323,,,,,,,
56,Jason Day,28089,69.816,1.475,0.396,0.314,0.963,0.269,0.512,-1.83,0.67,-14.0,1.0,,,
57,Brendon de Jonge,23638,,,,,,,,,,,,,,
58,Jay Delsing,01261,,,,,,,,,,,,,,
59,Thomas Detry,33653,70.587,0.296,0.012,0.115,0.099,-0.048,0.197,-0.5,0.5,-7.0,1.0,651.0,-7.0,1.0
60,Luke Donald,23983,71.511,-0.066,-0.888,0.211,-0.401,0.37,0.335,-2.0,1.0,-9.0,1.0,,,
61,Zecheng Dou,37338,71.537,-0.519,0.113,-0.041,-0.107,-0.074,-0.411,,,,,,,
62,Jason Dufner,25686,72.144,-1.014,-0.128,0.083,-0.104,0.174,-0.91,-1.0,1.0,-3.0,1.0,,,
63,Tyler Duncan,45609,71.435,-0.634,0.287,-0.521,-0.323,-0.145,-0.311,,,,,,,
64,Nico Echavarria,51349,71.522,-0.854,-0.112,-0.262,-0.877,-0.472,0.023,,,,,,,
65,Austin Eckroat,57362,70.631,0.641,0.386,0.067,0.522,0.026,0.119,,,,,,,
66,Ernie Els,06522,,,,,,,,2.71,0.43,-0.5,0.5,589.0,1.0,0.0
67,Harrison Endycott,47079,71.507,-0.299,-0.194,0.028,-0.405,-0.339,0.106,,,,,,,
68,Harris English,34099,70.571,0.481,-0.337,0.295,-0.022,0.011,0.503,2.75,0.75,2.5,0.5,595.0,6.0,0.0
69,Matt Every,28307,,,,,,,,7.0,0.0,7.0,0.0,,,
70,Brad Faxon,01329,,,,,,,,,,,,,,
71,Tony Finau,29725,69.753,1.498,0.298,0.219,1.482,0.816,0.017,-4.5,1.0,-8.0,1.0,652.0,-8.0,1.0
72,Matt Fitzpatrick,40098,70.167,1.145,0.266,0.291,0.625,0.041,0.521,,,,,,,
73,Tommy Fleetwood,30911,69.346,1.85,0.306,0.414,1.41,0.474,0.44,-1.5,0.67,1.0,0.0,,,
74,Rickie Fowler,32102,69.369,1.804,0.19,0.324,1.382,0.781,0.423,-1.33,1.0,-6.0,1.0,,,
75,Ryan Fox,29936,,,,,,,,0.5,0.67,-1.0,0.5,632.0,2.0,0.0
76,Robin Freeman,01374,,,,,,,,,,,,,,
77,Dylan Frittelli,29970,72.394,-1.039,-0.359,-0.092,-1.095,-0.407,0.056,-0.4,0.6,-8.0,1.0,586.0,-8.0,1.0
78,Jim Furyk,10809,,,,,,,,2.67,1.0,-6.0,1.0,,,
79,Brice Garnett,29535,71.628,-0.034,-0.19,0.053,-0.205,-0.153,0.171,,,,,,,
80,Robert Garrigus,24358,,,,,,,,,,,,,,
81,Ryan Gerard,59018,71.169,-0.035,-0.248,0.105,0.316,0.271,-0.351,,,,,,,
82,Doug Ghim,52375,71.076,0.268,0.074,0.125,0.35,0.075,-0.082,,,,,,,
83,Michael Gligic,32662,72.854,-1.57,0.24,-0.567,-1.223,-0.717,-0.347,,,,,,,
84,Lucas Glover,25900,71.504,-0.054,0.225,-0.074,0.464,0.377,-0.518,2.0,0.5,,,,,
85,Fabián Gómez,28679,,,,,,,,,,,,,,
86,Will Gordon,56762,70.872,0.046,0.455,-0.394,0.187,0.187,-0.14,,,,,,,
87,Jason Gore,22892,,,,,,,,,,,,,,
88,David Gossett,23338,,,,,,,,,,,,,,
89,Tano Goya,31577,71.449,-0.4,0.106,0.169,-0.198,-0.513,-0.203,,,,,,,
90,Brent Grant,51414,72.142,-1.362,0.784,-0.537,-0.489,-0.663,-0.873,,,,,,,
91,Nathan Green,23718,,,,,,,,,,,,,,
92,Ben Griffin,54591,70.335,0.585,-0.002,0.316,0.354,0.01,0.231,,,,,,,
93,Lanto Griffin,35310,,,,,,,,-2.0,1.0,,,,,
94,Emiliano Grillo,31646,70.638,0.465,0.247,-0.233,0.422,0.333,0.043,3.33,0.33,2.0,0.0,590.0,2.0,0.0
95,Bill Haas,24924,,,,,,,,4.0,0.33,5.0,0.0,,,
96,Chesson Hadley,34563,71.265,-0.111,-0.185,-0.467,-0.474,0.208,0.362,3.0,0.0,,,,,
97,Adam Hadwin,33399,70.413,0.821,-0.087,0.09,0.404,0.41,0.417,4.5,0.5,,,,,
98,James Hahn,32448,71.66,-0.203,0.217,-0.247,0.113,0.087,-0.316,8.0,0.67,4.0,0.0,,,
99,Paul Haley II,35901,71.778,-0.82,-0.412,0.03,-0.727,-0.415,-0.093,,,,,,,
100,Harry Hall,57975,70.693,0.302,-0.202,0.273,-0.382,-0.404,0.684,,,,,,,
101,Nick Hardy,47988,70.815,0.063,0.125,-0.258,0.128,0.288,-0.066,,,,,,,
102,Brian Harman,27644,70.216,0.703,0.252,-0.007,0.392,0.092,0.311,-0.5,0.33,-6.0,0.5,570.0,-13.0,1.0
103,Scott Harrington,27554,72.104,-1.13,0.016,-0.144,-0.381,-0.335,-0.75,,,,,,,
104,Tyrrell Hatton,34363,69.301,2.091,0.634,0.108,1.361,0.606,0.73,-0.71,0.57,-4.5,0.5,654.0,-11.0,1.0
105,J.P. Hayes,08537,,,,,,,,,,,,,,
106,David Hearn,26758,,,,,,,,3.0,0.0,3.0,0.0,,,
107,Russell Henley,34098,70.157,0.597,0.051,0.219,0.907,0.436,-0.31,1.17,0.5,-5.0,1.0,633.0,-3.0,1.0
108,J.J. Henry,23353,,,,,,,,,,,,,,
109,Lucas Herbert,39058,71.168,-0.524,0.232,-0.336,-0.717,-0.464,0.193,-2.33,0.67,-10.0,1.0,617.0,-10.0,1.0
110,Jim Herman,31557,72.047,-1.068,-0.037,-0.233,-0.672,-0.407,-0.396,5.0,1.0,,,,,
111,Kramer Hickok,49298,71.652,-0.55,0.036,-0.125,-0.205,-0.203,-0.345,,,,,,,
112,Garrick Higgo,54421,71.102,0.005,0.526,0.017,0.211,-0.315,-0.206,1.5,0.5,-5.0,1.0,592.0,-5.0,1.0
113,Harry Higgs,33597,71.509,-0.888,-0.483,0.144,-1.322,-0.886,0.433,,,,,,,
114,Lee Hodges,54628,70.703,0.302,0.276,-0.107,0.309,0.05,-0.007,,,,,,,
115,Charley Hoffman,12716,71.35,-0.253,0.027,0.021,0.381,0.362,-0.634,3.33,0.67,6.0,0.0,,,
116,Tom Hoge,35532,70.658,0.379,-0.246,-0.176,0.408,0.89,-0.029,6.0,0.0,6.0,0.0,655.0,6.0,0.0
117,Nicolai Hojgaard,52453,,,,,,,,,,,,,,
118,J.B. Holmes,27141,,,,,,,,1.75,0.75,3.0,0.0,,,
119,Max Homa,39977,69.703,1.678,0.188,0.174,1.054,0.633,0.624,0.0,0.5,1.0,0.0,622.0,1.0,0.0
120,Billy Horschel,29420,71.455,-0.447,-0.339,-0.011,-0.599,-0.126,0.152,2.17,0.5,-7.5,1.0,571.0,-9.0,1.0
