,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut,odds
0,Ludvig Aberg,52955,,,,,,,,,,,,,,,
1,Anders Albertson,49303,,,,,,,,3.0,0.0,3.0,0.0,,,,
2,Tyson Alexander,33408,71.694,-0.935,-0.352,0.128,-0.836,-0.526,-0.099,,,,,,,,
3,Byeong Hun An,33948,70.465,0.702,0.342,0.522,0.988,0.106,-0.286,-1.0,0.5,-1.0,0.5,,,,
4,Ryan Armour,19803,71.469,-0.504,-0.226,-0.234,-0.319,0.008,-0.185,-3.67,0.83,-3.67,0.83,1093.0,-8.0,1.0,
5,Arjun Atwal,21407,,,,,,,,,,,,,,,
6,Aaron Baddeley,22371,70.615,0.404,-0.423,0.534,0.053,0.025,0.351,1.0,0.25,1.0,0.25,,,,
7,Sangmoon Bae,28259,,,,,,,,,,,,,,,
8,Briny Baird,20498,,,,,,,,,,,,,,,
9,Craig Barlow,19824,,,,,,,,,,,,,,,
10,Erik Barnes,34374,71.138,0.352,0.148,0.052,0.326,0.126,0.026,,,,,,,,
11,Ricky Barnes,24846,,,,,,,,-2.0,1.0,-2.0,1.0,,,,
12,Charlie Beljan,32334,,,,,,,,7.0,0.0,7.0,0.0,,,,
13,Deane Beman,01076,,,,,,,,,,,,,,,
14,Daniel Berger,40026,,,,,,,,-5.25,0.75,-5.25,0.75,,,,
15,Matt Bettencourt,20070,,,,,,,,,,,,,,,
16,Christiaan Bezuidenhout,45522,70.683,0.281,-0.31,0.221,0.083,0.137,0.197,4.0,0.0,4.0,0.0,1015.0,4.0,0.0,
17,Akshay Bhatia,56630,70.416,0.038,0.287,-0.243,0.547,0.421,-0.509,,,,,,,,
18,Zac Blair,40058,71.257,-0.214,-0.394,0.319,-0.123,-0.102,-0.092,3.0,0.33,3.0,0.33,,,,
19,Jonas Blixt,27895,,,,,,,,1.83,0.5,1.83,0.5,1045.0,-2.0,1.0,
20,Jason Bohn,24507,,,,,,,,10.0,0.0,10.0,0.0,,,,
21,Keegan Bradley,33141,70.358,0.79,0.301,0.046,0.443,0.195,0.347,-5.71,0.71,-5.71,0.71,1060.0,-9.0,1.0,
22,Joseph Bramlett,34255,70.478,0.615,0.212,0.195,0.858,0.395,-0.243,-3.67,0.67,-3.67,0.67,1046.0,-2.0,1.0,
23,Ryan Brehm,28420,73.039,-1.331,-0.328,-0.558,-1.546,-0.593,0.215,-0.67,0.33,-0.67,0.33,1094.0,2.0,0.0,
24,Scott Brown,29479,,,,,,,,-1.6,0.8,-1.6,0.8,,,,
25,Wesley Bryan,48084,,,,,,,,-3.0,1.0,-3.0,1.0,,,,
26,Hayden Buckley,55708,70.545,0.282,0.717,-0.523,0.263,0.031,0.019,-5.0,1.0,-5.0,1.0,1039.0,-5.0,1.0,
