,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut,odds
0,Ludvig Aberg,52955,,,,,,,,,,,,,,,
1,Anders Albertson,49303,,,,,,,,,,,,,,,
2,Tyson Alexander,33408,71.694,-0.935,-0.352,0.128,-0.836,-0.526,-0.099,,,,,,,,
3,Byeong Hun An,33948,70.465,0.702,0.342,0.522,0.988,0.106,-0.286,7.5,0.5,,,,,,
4,Ryan Armour,19803,71.462,-0.452,-0.21,-0.202,-0.268,0.019,-0.183,,,,,,,,
5,Arjun Atwal,21407,,,,,,,,,,,,,,,
6,Aaron Baddeley,22371,70.615,0.404,-0.423,0.534,0.053,0.025,0.351,7.5,0.5,,,,,,
7,Sangmoon Bae,28259,,,,,,,,,,,,,,,
8,Briny Baird,20498,,,,,,,,,,,,,,,
9,Craig Barlow,19824,,,,,,,,,,,,,,,
10,Erik Barnes,34374,71.138,0.352,0.148,0.052,0.326,0.126,0.026,,,,,,,,
11,Ricky Barnes,24846,,,,,,,,,,,,,,,
12,Charlie Beljan,32334,,,,,,,,3.0,1.0,,,,,,
13,Deane Beman,01076,,,,,,,,,,,,,,,
14,Daniel Berger,40026,,,,,,,,5.71,0.71,,,1151.0,5.0,0.0,
15,Matt Bettencourt,20070,,,,,,,,,,,,,,,
16,Christiaan Bezuidenhout,45522,70.683,0.281,-0.31,0.221,0.083,0.137,0.197,12.0,1.0,,,,,,
17,Akshay Bhatia,56630,70.416,0.038,0.287,-0.243,0.547,0.421,-0.509,10.0,1.0,,,,,,
18,Zac Blair,40058,71.257,-0.214,-0.394,0.319,-0.123,-0.102,-0.092,11.0,0.0,,,,,,
19,Jonas Blixt,27895,,,,,,,,7.0,0.0,,,1166.0,7.0,0.0,
20,Jason Bohn,24507,,,,,,,,,,,,,,,
21,Keegan Bradley,33141,70.327,0.879,0.315,0.031,0.537,0.287,0.342,7.14,0.43,,,1177.0,-1.0,1.0,
22,Joseph Bramlett,34255,70.478,0.615,0.212,0.195,0.858,0.395,-0.243,4.0,0.5,,,1167.0,7.0,1.0,
23,Ryan Brehm,28420,73.039,-1.331,-0.328,-0.558,-1.546,-0.593,0.215,6.0,1.0,,,,,,
24,Scott Brown,29479,72.624,-1.539,-0.257,-0.003,-0.853,-0.796,-0.686,,,,,,,,
25,Wesley Bryan,48084,,,,,,,,15.0,0.0,,,,,,
26,Hayden Buckley,55708,70.44,0.441,0.757,-0.465,0.372,0.054,0.069,5.5,0.5,,,1162.0,2.0,1.0,
27,Bronson Burgoon,29268,,,,,,,,,,,,,,,
28,Bob Burns,06809,,,,,,,,,,,,,,,
29,Sam Burns,47504,70.68,0.741,0.277,0.043,0.118,-0.254,0.623,8.25,0.5,,,1208.0,5.0,1.0,
30,Jonathan Byrd,24925,71.273,-0.275,-0.243,0.579,-0.057,-0.531,-0.218,,,,,,,,
31,Chad Campbell,12510,,,,,,,,,,,,,,,
32,Patrick Cantlay,35450,69.567,1.954,0.949,0.056,1.563,0.483,0.392,5.4,1.0,,,1198.0,2.0,1.0,
33,Bud Cauley,34021,,,,,,,,4.0,0.0,,,,,,
34,Greg Chalmers,20593,,,,,,,,,,,,,,,
35,Cameron Champ,52372,71.788,-0.856,0.448,-0.783,-0.518,-0.36,-0.338,6.67,0.33,,,,,,
36,Kevin Chappell,32366,71.388,0.202,0.096,0.087,0.371,0.06,-0.169,9.0,0.6,,,1178.0,9.0,0.0,
37,Daniel Chopra,20850,,,,,,,,13.0,0.0,,,,,,
38,Stewart Cink,20229,71.667,-0.545,-0.135,-0.041,-0.373,-0.133,-0.172,5.67,0.67,,,1209.0,4.0,0.0,
39,Tim Clark,23135,,,,,,,,,,,,,,,
40,Wyndham Clark,51766,69.881,1.231,0.231,0.147,0.939,0.548,0.292,4.5,0.0,,,1229.0,4.0,0.0,
41,Michael Clark II,12388,,,,,,,,,,,,,,,
42,Eric Cole,47591,70.148,0.956,-0.184,0.314,0.484,0.298,0.472,8.0,0.0,,,,,,
43,Chad Collins,25720,,,,,,,,,,,,,,,
44,Trevor Cone,49453,71.934,-0.415,0.467,-0.383,-0.464,-0.597,0.05,,,,,,,,
45,Corey Conners,39997,70.496,0.961,0.51,-0.041,1.046,0.549,-0.085,6.25,0.0,,,1144.0,4.0,0.0,
46,Austin Cook,46435,71.651,-0.775,-0.667,0.236,-0.507,-0.105,-0.268,,,,,,,,
47,Chris Couch,11123,,,,,,,,,,,,,,,
48,Vince Covello,32982,,,,,,,,,,,,,,,
49,Ben Crane,23541,,,,,,,,,,,,,,,
50,Ben Curtis,22621,,,,,,,,,,,,,,,
51,MJ Daffue,39067,71.57,-0.467,0.364,-0.285,-0.087,-0.094,-0.38,6.0,1.0,,,1188.0,6.0,1.0,
52,Joel Dahmen,34076,70.751,-0.042,0.204,0.144,0.497,0.07,-0.539,3.33,0.33,,,1168.0,0.0,1.0,
53,Robert Damron,19881,,,,,,,,,,,,,,,
54,Brian Davis,21753,,,,,,,,7.0,0.0,,,,,,
55,Cam Davis,45157,70.788,0.382,0.684,0.039,0.659,0.093,-0.277,,,,,,,,
56,Jason Day,28089,69.733,1.747,0.448,0.285,1.209,0.498,0.538,5.33,0.67,,,,,,
57,Brendon de Jonge,23638,,,,,,,,,,,,,,,
58,Jay Delsing,01261,,,,,,,,,,,,,,,
59,Thomas Detry,33653,70.548,0.433,-0.003,0.09,0.172,0.081,0.261,11.0,0.5,,,,,,
60,Luke Donald,23983,71.521,-0.088,-0.83,0.132,-0.491,0.336,0.403,8.0,0.67,,,,,,
61,Zecheng Dou,37338,71.669,-0.686,0.174,-0.013,-0.141,-0.221,-0.544,,,,,,,,
62,Jason Dufner,25686,72.215,-1.086,-0.209,0.124,-0.186,0.112,-0.9,4.2,0.8,,,,,,
63,Tyler Duncan,45609,71.442,-0.729,0.283,-0.523,-0.381,-0.139,-0.349,13.33,0.67,,,,,,
64,Nico Echavarria,51349,71.559,-0.924,-0.096,-0.295,-1.026,-0.539,0.102,,,,,,,,
65,Austin Eckroat,57362,70.88,0.524,0.423,-0.033,0.411,0.022,0.114,3.0,0.0,,,,,,
66,Ernie Els,06522,,,,,,,,9.8,0.4,,,,,,
67,Harrison Endycott,47079,71.478,-0.234,-0.175,0.025,-0.409,-0.373,0.176,,,,,,,,
68,Harris English,34099,70.759,0.397,-0.378,0.285,-0.028,0.067,0.425,5.0,1.0,,,1163.0,17.0,1.0,
69,Matt Every,28307,,,,,,,,8.0,0.0,,,,,,
70,Brad Faxon,01329,,,,,,,,,,,,,,,
71,Tony Finau,29725,69.69,1.755,0.376,0.253,1.65,0.9,0.106,5.0,0.43,,,1221.0,5.0,0.0,
72,Matt Fitzpatrick,40098,70.344,1.155,0.41,0.242,0.718,0.008,0.437,,,,,,,,
73,Tommy Fleetwood,30911,69.62,1.84,0.234,0.458,1.322,0.4,0.518,2.33,0.83,,,,,,
74,Rickie Fowler,32102,69.707,1.53,0.176,0.244,1.25,0.752,0.281,6.83,0.67,,,,,,
75,Ryan Fox,29936,,,,,,,,10.25,0.25,,,1203.0,5.0,0.0,
76,Robin Freeman,01374,,,,,,,,,,,,,,,
77,Dylan Frittelli,29970,72.263,-1.009,-0.449,-0.033,-1.084,-0.413,0.075,12.5,0.5,,,,,,
78,Jim Furyk,10809,,,,,,,,3.0,0.83,,,1169.0,4.0,0.0,
79,Brice Garnett,29535,71.57,0.038,-0.245,0.114,-0.309,-0.255,0.347,6.0,0.0,,,,,,
80,Robert Garrigus,24358,,,,,,,,,,,,,,,
81,Ryan Gerard,59018,71.358,-0.203,-0.139,-0.186,0.35,0.431,-0.553,,,,,,,,
82,Doug Ghim,52375,71.335,-0.037,0.001,0.133,0.189,0.022,-0.226,13.0,0.0,,,,,,
83,Michael Gligic,32662,72.611,-1.222,0.355,-0.508,-0.859,-0.51,-0.363,,,,,,,,
84,Lucas Glover,25900,71.855,-0.441,0.168,-0.039,0.343,0.253,-0.783,7.5,0.17,,,,,,
85,Fabián Gómez,28679,,,,,,,,,,,,,,,
86,Will Gordon,56762,70.665,0.374,0.51,-0.384,0.407,0.313,-0.033,,,,,,,,
87,Jason Gore,22892,,,,,,,,,,,,,,,
88,David Gossett,23338,,,,,,,,,,,,,,,
89,Tano Goya,31577,71.449,-0.443,0.09,0.15,-0.184,-0.458,-0.258,,,,,,,,
90,Brent Grant,51414,72.072,-1.29,0.697,-0.504,-0.519,-0.592,-0.771,,,,,,,,
91,Nathan Green,23718,,,,,,,,,,,,,,,
92,Ben Griffin,54591,70.354,0.612,-0.005,0.358,0.371,-0.009,0.241,,,,,,,,
93,Lanto Griffin,35310,,,,,,,,9.0,0.5,,,1184.0,7.0,0.0,
94,Emiliano Grillo,31646,70.757,0.43,0.228,-0.228,0.445,0.357,-0.015,7.75,0.5,,,,,,
95,Bill Haas,24924,71.944,-1.202,0.076,0.065,-1.021,-1.096,-0.181,5.25,0.75,,,,,,
96,Chesson Hadley,34563,71.36,-0.195,-0.159,-0.571,-0.377,0.371,0.182,6.67,0.67,,,,,,
97,Adam Hadwin,33399,70.447,0.825,0.048,0.103,0.469,0.35,0.356,10.2,0.8,,,1129.0,-1.0,1.0,
98,James Hahn,32448,71.719,-0.189,0.215,-0.201,0.122,0.102,-0.311,11.0,1.0,,,,,,
99,Paul Haley II,35901,71.574,-0.551,-0.372,0.091,-0.679,-0.426,0.127,,,,,,,,
100,Harry Hall,57975,70.664,0.44,-0.231,0.341,-0.263,-0.39,0.703,,,,,,,,
101,Nick Hardy,47988,71.065,-0.181,0.113,-0.357,0.159,0.385,-0.34,5.75,0.5,,,1196.0,2.0,1.0,
102,Brian Harman,27644,70.67,0.375,0.369,-0.044,0.199,-0.189,0.176,5.5,0.83,,,1137.0,8.0,1.0,
103,Scott Harrington,27554,72.086,-1.165,0.027,-0.2,-0.491,-0.367,-0.674,,,,,,,,
104,Tyrrell Hatton,34363,69.442,2.163,0.672,0.155,1.465,0.621,0.698,5.83,0.5,,,1223.0,13.0,1.0,
105,J.P. Hayes,08537,,,,,,,,,,,,,,,
106,David Hearn,26758,,,,,,,,7.0,0.0,,,,,,
107,Russell Henley,34098,70.493,0.316,0.015,0.194,0.672,0.257,-0.356,5.0,0.6,,,1204.0,6.0,0.0,
108,J.J. Henry,23353,,,,,,,,12.0,0.0,,,,,,
109,Lucas Herbert,39058,71.736,-0.863,0.303,-0.332,-0.791,-0.681,-0.072,14.0,0.33,,,1185.0,13.0,0.0,
110,Jim Herman,31557,72.152,-1.146,-0.089,-0.174,-0.701,-0.487,-0.445,12.5,0.0,,,,,,
111,Kramer Hickok,49298,71.448,-0.288,0.08,-0.043,0.067,-0.072,-0.355,,,,,,,,
112,Garrick Higgo,54421,71.237,-0.011,0.467,-0.002,0.207,-0.248,-0.219,6.0,0.0,,,,,,
113,Harry Higgs,33597,71.521,-1.115,-0.52,0.282,-1.429,-1.051,0.314,,,,,,,,
114,Lee Hodges,54628,70.799,0.327,0.283,-0.156,0.381,0.13,-0.054,13.0,0.0,,,,,,
115,Charley Hoffman,12716,71.457,-0.3,0.065,0.112,0.522,0.4,-0.822,5.4,0.8,,,,,,
116,Tom Hoge,35532,70.666,0.589,-0.123,-0.22,0.543,0.952,0.046,6.6,0.4,,,1224.0,5.0,0.0,
117,Nicolai Hojgaard,52453,,,,,,,,,,,,,,,
118,J.B. Holmes,27141,,,,,,,,3.0,0.5,,,,,,
119,Max Homa,39977,69.723,1.82,0.138,0.254,1.08,0.655,0.741,10.0,0.33,,,1190.0,9.0,1.0,
