,player,score,odds,tourney_rank,course_rank
171,Jon Rahm,64.18900000000001,,9.0,9.0
183,Scottie Scheffler,64.599,,,
53,Tony Finau,65.533,164750.0,49.5,49.5
23,Patrick Cantlay,66.157,100550.0,83.5,83.5
141,Rory McIlroy,66.405,164500.0,3.0,3.0
42,Jason Day,66.524,500000.0,7.0,7.0
182,Xander Schauffele,66.657,418.0,35.0,35.0
95,Max Homa,66.771,5150.0,15.0,15.0
81,Tyrrell Hatton,66.866,500.0,75.0,75.0
150,Collin Morikawa,66.917,500000.0,,
102,Sungjae Im,67.159,500.0,83.5,83.5
55,Tommy Fleetwood,67.35900000000001,1250.0,61.5,61.5
56,Rickie Fowler,67.428,47250.0,10.0,10.0
119,Matt Kuchar,67.547,68125.0,159.0,159.0
196,Jordan Spieth,67.74,500000.0,,
98,Viktor Hovland,67.824,15000.0,1.0,1.0
110,Tom Kim,68.134,,,
242,Kevin Yu,68.165,,,
178,Justin Rose,68.21300000000001,,2.0,2.0
213,Justin Thomas,68.23100000000001,7662.0,16.0,16.0
30,Wyndham Clark,68.268,380.0,122.0,122.0
111,Chris Kirk,68.429,102500.0,166.0,166.0
210,Nick Taylor,68.52799999999999,,45.0,45.0
177,Patrick Rodgers,68.62,500000.0,32.0,32.0
109,Si Woo Kim,68.656,175000.0,137.0,137.0
92,Tom Hoge,68.72,,117.0,117.0
135,Hideki Matsuyama,68.771,,19.5,19.5
69,Ben Griffin,68.80799999999999,500000.0,,
54,Matt Fitzpatrick,68.848,164375.0,,
103,Stephan Jaeger,68.92699999999999,175000.0,137.0,137.0
19,Hayden Buckley,68.943,209167.0,61.5,61.5
145,Keith Mitchell,68.961,170000.0,8.0,8.0
239,Cameron Young,69.00999999999999,500000.0,5.5,5.5
238,Cameron Young,69.00999999999999,205000.0,5.5,5.5
14,Keegan Bradley,69.025,104375.0,17.0,17.0
34,Corey Conners,69.109,13750.0,52.0,52.0
15,Joseph Bramlett,69.123,250000.0,122.0,122.0
11,Akshay Bhatia,69.141,212500.0,83.5,83.5
137,Denny McCarthy,69.154,90625.0,137.0,137.0
149,Taylor Moore,69.166,88625.0,178.0,178.0
147,Taylor Montgomery,69.19,500000.0,,
212,Sahith Theegala,69.21,175000.0,,
2,Byeong Hun An,69.29599999999999,,44.0,44.0
74,Adam Hadwin,69.419,500000.0,77.0,77.0
207,Adam Svensson,69.44800000000001,2200.0,97.5,97.5
132,Shane Lowry,69.449,500000.0,61.5,61.5
31,Eric Cole,69.51700000000001,500000.0,,
180,Sam Ryder,69.531,500000.0,159.0,159.0
170,Andrew Putnam,69.544,500000.0,97.5,97.5
39,Joel Dahmen,69.55,500000.0,29.5,29.5
124,K.H. Lee,69.554,48375.0,,
216,Brendon Todd,69.594,20625.0,35.0,35.0
209,Ben Taylor,69.658,500000.0,,
195,J.J. Spaun,69.667,20550.0,13.0,13.0
99,Mark Hubbard,69.679,225000.0,150.0,150.0
188,Robby Shelton,69.696,500000.0,97.5,97.5
237,Dylan Wu,69.708,103750.0,176.5,176.5
