,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut,odds
0,Anders Albertson,49303,71.97,-0.956,-0.751,-0.12,-1.71,-0.838,0.753,3.0,0.0,3.0,0.0,,,,
1,Tyson Alexander,33408,71.467,-0.674,-0.32,0.225,-0.635,-0.51,-0.039,,,,,,,,500000.0
2,Byeong Hun An,33948,70.585,0.6,0.117,0.55,0.72,0.023,-0.121,1.4,0.6,3.0,0.6,,,,
3,Ryan Armour,19803,71.522,-0.592,-0.15,-0.209,-0.395,-0.053,-0.196,2.5,0.5,3.0,0.0,1946.0,1.0,1.0,366667.0
4,Aaron Baddeley,22371,70.759,0.257,-0.337,0.498,0.012,-0.109,0.244,8.67,0.33,4.0,0.5,1845.0,18.0,0.0,
5,Sangmoon Bae,28259,,,,,,,,,,,,,,,
6,Briny Baird,20498,,,,,,,,,,,,,,,
7,Erik Barnes,34374,71.138,0.352,0.148,0.052,0.326,0.126,0.026,,,,,,,,
8,Ricky Barnes,24846,,,,,,,,2.33,0.67,1.5,0.5,,,,
9,Daniel Berger,40026,,,,,,,,0.8,1.0,2.4,0.8,,,,
10,Christiaan Bezuidenhout,45522,70.93,0.035,-0.345,0.309,-0.103,-0.084,0.138,,,,,,,,
11,Akshay Bhatia,56630,69.911,0.381,0.229,-0.534,0.453,0.694,-0.072,3.0,0.0,3.0,0.0,,,,212500.0
12,Zac Blair,40058,71.145,0.003,-0.204,0.41,0.048,-0.158,-0.045,0.67,0.33,3.5,0.0,,,,283333.0
13,Jonas Blixt,27895,,,,,,,,3.67,0.33,5.0,0.33,1894.0,1.0,0.0,
14,Keegan Bradley,33141,70.43,0.821,0.294,-0.053,0.54,0.343,0.281,-0.5,0.5,1.75,0.5,1908.0,-6.0,1.0,104375.0
15,Joseph Bramlett,34255,70.542,0.519,0.17,0.265,0.868,0.465,-0.349,4.5,0.0,3.0,0.0,1895.0,6.0,0.0,250000.0
16,Ryan Brehm,28420,73.204,-1.489,-0.278,-0.591,-1.594,-0.676,0.105,7.5,0.0,8.0,0.0,,,,125000.0
17,Scott Brown,29479,72.659,-2.024,-0.135,-0.032,-1.212,-1.119,-0.812,3.67,0.17,2.83,0.33,,,,
18,Wesley Bryan,48084,73.07,-3.251,-0.87,-0.107,-2.092,-0.93,-1.159,5.0,0.0,10.0,0.0,1976.0,4.0,0.0,
19,Hayden Buckley,55708,70.277,0.714,0.902,-0.346,0.635,0.064,0.079,2.0,0.0,,,1890.0,2.0,0.0,209167.0
20,Bronson Burgoon,29268,,,,,,,,5.67,0.0,5.67,0.0,,,,
21,Sam Burns,47504,70.774,0.8,0.313,0.06,-0.014,-0.415,0.814,4.0,0.5,4.0,0.5,,,,500000.0
22,Jonathan Byrd,24925,71.584,-1.272,-0.271,0.455,-0.816,-1.027,-0.456,9.4,0.0,10.25,0.0,1896.0,6.0,0.0,
23,Patrick Cantlay,35450,69.692,2.026,0.957,0.016,1.51,0.536,0.516,3.0,0.0,3.0,0.5,,,,100550.0
24,Bud Cauley,34021,,,,,,,,2.67,0.67,2.75,0.75,,,,
25,Greg Chalmers,20593,,,,,,,,2.0,0.5,-2.0,1.0,,,,
26,Cameron Champ,52372,72.045,-1.171,0.438,-0.869,-0.872,-0.521,-0.298,3.0,0.0,3.0,0.0,,,,500000.0
27,Kevin Chappell,32366,71.293,0.403,-0.061,0.037,0.239,0.146,0.164,5.0,1.0,1.67,1.0,1909.0,13.0,1.0,
28,Stewart Cink,20229,71.65,-0.594,0.022,-0.109,-0.178,-0.077,-0.416,1.2,0.8,2.0,1.0,1956.0,-2.0,1.0,205000.0
29,Tim Clark,23135,,,,,,,,,,,,,,,
30,Wyndham Clark,51766,70.068,0.983,0.196,0.167,0.838,0.454,0.145,4.5,0.5,4.5,0.5,,,,380.0
31,Eric Cole,47591,70.337,0.716,-0.305,0.075,0.128,0.335,0.587,,,,,,,,500000.0
32,Chad Collins,25720,,,,,,,,3.0,0.5,4.67,0.33,,,,
33,Trevor Cone,49453,72.05,-0.547,0.432,-0.287,-0.406,-0.552,-0.141,,,,,,,,
34,Corey Conners,39997,70.764,0.769,0.513,-0.189,0.947,0.562,-0.178,1.75,0.75,2.33,0.67,1867.0,0.0,1.0,13750.0
35,Austin Cook,46435,71.346,-0.356,-0.666,0.266,-0.242,0.088,-0.114,3.33,0.33,4.5,0.5,1846.0,1.0,0.0,500000.0
36,Vince Covello,32982,,,,,,,,,,,,,,,
37,Ben Crane,23541,,,,,,,,5.0,0.0,5.0,0.0,,,,
38,MJ Daffue,39067,71.451,-0.347,0.387,-0.211,0.129,0.003,-0.476,,,,,,,,187500.0
39,Joel Dahmen,34076,70.616,0.215,0.366,0.186,0.847,0.299,-0.632,0.4,0.8,-5.33,1.0,1897.0,8.0,1.0,500000.0
40,Brian Davis,21753,,,,,,,,4.0,0.0,4.0,0.0,,,,
41,Cam Davis,45157,70.925,0.403,0.606,0.072,0.769,0.057,-0.365,,,,,,,,225000.0
42,Jason Day,28089,69.717,1.903,0.34,0.349,1.29,0.601,0.613,-3.5,0.75,-3.5,0.75,1898.0,-1.0,1.0,500000.0
43,Thomas Detry,33653,70.698,0.317,0.02,0.062,0.102,-0.023,0.215,,,,,,,,
44,Luke Donald,23983,72.015,-0.374,-1.086,-0.012,-0.828,0.497,0.454,5.0,0.67,7.0,0.33,1917.0,1.0,1.0,
45,Zecheng Dou,37338,71.907,-0.965,0.159,-0.045,-0.237,-0.289,-0.728,,,,,,,,
46,Jason Dufner,25686,72.037,-0.977,-0.237,0.168,-0.028,0.1,-0.948,-0.25,0.75,0.25,1.0,1899.0,5.0,0.0,500000.0
47,Tyler Duncan,45609,71.15,-0.406,0.388,-0.554,-0.228,-0.081,-0.178,6.25,0.0,6.0,0.0,1967.0,7.0,0.0,500000.0
48,Nico Echavarria,51349,71.505,-0.918,0.048,-0.447,-1.103,-0.65,0.186,,,,,,,,
49,Austin Eckroat,57362,71.252,0.158,0.4,-0.104,0.018,-0.241,0.14,,,,,,,,250000.0
50,Harrison Endycott,47079,71.683,-0.499,-0.168,-0.044,-0.484,-0.299,-0.015,,,,,,,,283333.0
51,Harris English,34099,71.026,0.151,-0.492,0.29,-0.294,-0.033,0.446,3.5,0.75,2.0,1.0,,,,6625.0
52,Matt Every,28307,,,,,,,,9.67,0.0,9.67,0.0,,,,
53,Tony Finau,29725,69.513,2.258,0.398,0.176,1.812,1.148,0.446,1.67,0.83,1.5,0.83,1968.0,5.0,1.0,164750.0
54,Matt Fitzpatrick,40098,70.438,1.076,0.366,0.348,0.607,-0.201,0.47,,,,,,,,164375.0
55,Tommy Fleetwood,30911,70.084,1.558,0.134,0.514,1.258,0.519,0.3,2.0,0.5,4.0,0.67,,,,1250.0
56,Rickie Fowler,32102,69.914,1.422,0.143,0.078,1.106,0.843,0.316,-1.8,0.8,-2.8,0.8,1948.0,0.0,1.0,47250.0
57,Dylan Frittelli,29970,72.327,-0.996,-0.384,-0.035,-1.005,-0.386,0.01,2.33,0.67,3.33,0.67,1878.0,6.0,1.0,500000.0
58,Jim Furyk,10809,,,,,,,,4.67,0.0,7.33,0.0,,,,
59,Brice Garnett,29535,71.451,0.242,-0.278,0.156,-0.151,-0.074,0.393,7.2,0.4,7.5,0.5,1854.0,6.0,0.0,
60,Robert Garrigus,24358,,,,,,,,6.33,0.33,6.0,0.5,1949.0,7.0,0.0,
61,Ryan Gerard,59018,70.757,0.45,0.015,-0.185,0.711,0.7,-0.261,,,,,,,,
62,Doug Ghim,52375,71.806,-0.704,-0.211,-0.065,-0.542,-0.225,-0.163,2.0,0.0,,,1879.0,2.0,0.0,150000.0
63,Michael Gligic,32662,72.583,-1.194,0.262,-0.496,-0.811,-0.454,-0.383,4.5,1.0,5.0,1.0,1924.0,4.0,1.0,
64,Lucas Glover,25900,71.892,-0.518,0.11,-0.128,0.04,0.115,-0.559,1.86,0.57,1.17,0.67,1918.0,7.0,0.0,500000.0
65,Fabián Gómez,28679,,,,,,,,,,,,,,,
66,Will Gordon,56762,70.609,0.416,0.386,-0.279,0.421,0.309,-0.005,5.0,0.0,5.0,0.0,,,,500000.0
67,Tano Goya,31577,71.513,-0.537,0.141,0.178,-0.232,-0.589,-0.305,,,,,,,,
68,Brent Grant,51414,71.948,-1.308,0.556,-0.531,-0.828,-0.884,-0.48,,,,,,,,500000.0
69,Ben Griffin,54591,70.226,0.849,0.105,0.506,0.6,-0.042,0.249,,,,,,,,500000.0
70,Lanto Griffin,35310,,,,,,,,0.33,0.67,2.0,0.5,1919.0,-3.0,1.0,500000.0
71,Emiliano Grillo,31646,70.99,0.221,0.268,-0.194,0.41,0.327,-0.189,0.25,1.0,2.75,0.75,,,,112500.0
72,Bill Haas,24924,71.911,-1.528,0.011,0.344,-1.345,-1.534,-0.183,4.86,0.29,4.5,0.5,1856.0,9.0,0.0,
73,Chesson Hadley,34563,71.314,-0.208,-0.284,-0.616,-0.483,0.418,0.275,3.43,0.43,1.4,0.6,1869.0,8.0,0.0,500000.0
74,Adam Hadwin,33399,70.566,0.746,0.08,0.018,0.337,0.303,0.409,2.6,0.6,4.33,0.5,,,,500000.0
75,James Hahn,32448,71.832,-0.287,0.255,-0.333,-0.059,0.009,-0.228,2.33,0.67,2.6,0.6,1900.0,-2.0,1.0,500000.0
76,Paul Haley II,35901,71.641,-0.585,-0.326,0.053,-0.619,-0.352,0.034,,,,,,,,
77,Harry Hall,57975,70.688,0.445,-0.197,0.248,-0.468,-0.554,0.912,,,,,,,,500000.0
78,Nick Hardy,47988,70.957,0.041,0.095,-0.281,0.502,0.691,-0.461,,,,,,,,266667.0
79,Brian Harman,27644,70.614,0.56,0.558,-0.097,0.298,-0.246,0.262,0.71,0.86,2.83,0.83,1858.0,-2.0,1.0,500000.0
80,Scott Harrington,27554,72.011,-1.13,-0.098,-0.11,-0.553,-0.367,-0.577,10.0,0.0,10.0,0.0,,,,
81,Tyrrell Hatton,34363,69.972,1.781,0.73,-0.083,1.288,0.678,0.493,2.5,1.0,4.0,0.5,1970.0,4.0,1.0,500.0
