,player,player_id,scoring Average,SG total Average,SG OTT Average,SG ATG Average,SG TTG Average,SG APR Average,SG PUT Average,avg_score_tourney,avg_cut_tourney,avg_score_course,avg_cut_course,index,2022_score,2022_cut
0,Ludvig Aberg,52955,,,,,,,,,,,,,,
1,Anders Albertson,49303,,,,,,,,1.0,0.0,,,,,
2,Tyson Alexander,33408,71.809,-0.981,-0.373,0.068,-0.776,-0.368,-0.205,,,,,,,
3,Byeong Hun An,33948,70.181,0.866,0.392,0.451,0.993,0.151,-0.127,-9.0,0.75,-3.5,0.5,,,
4,Ryan Armour,19803,71.41,-0.356,-0.275,-0.15,-0.296,-0.061,-0.059,-8.33,0.67,0.0,1.0,,,
5,Arjun Atwal,21407,,,,,,,,0.8,0.0,4.33,0.67,,,
6,Aaron Baddeley,22371,70.621,0.354,-0.516,0.475,-0.105,0.042,0.459,-0.83,0.17,4.67,0.67,175.0,3.0,0.0
7,Sangmoon Bae,28259,,,,,,,,,,,,,,
8,Briny Baird,20498,,,,,,,,,,,,,,
9,Craig Barlow,19824,,,,,,,,,,,,,,
10,Erik Barnes,34374,,,,,,,,,,,,,,
11,Ricky Barnes,24846,,,,,,,,-2.5,0.5,5.5,0.0,266.0,2.0,0.0
12,Charlie Beljan,32334,,,,,,,,5.0,0.0,5.5,0.5,,,
13,Deane Beman,01076,,,,,,,,,,,,,,
14,Daniel Berger,40026,,,,,,,,-1.67,0.33,-9.2,0.8,,,
15,Matt Bettencourt,20070,,,,,,,,,,,,,,
16,Christiaan Bezuidenhout,45522,70.722,0.166,-0.339,0.142,-0.057,0.149,0.223,-7.0,1.0,-2.5,1.0,196.0,-6.0,1.0
17,Akshay Bhatia,56630,70.488,0.18,0.33,-0.214,0.717,0.516,-0.537,3.0,0.0,,,,,
18,Zac Blair,40058,70.954,0.006,-0.391,0.192,-0.089,0.058,0.095,-0.75,0.0,2.25,1.0,,,
19,Jonas Blixt,27895,,,,,,,,-3.29,0.43,,,226.0,6.0,0.0
20,Jason Bohn,24507,,,,,,,,1.67,0.0,0.33,0.33,,,
21,Keegan Bradley,33141,70.109,1.078,0.264,0.051,0.579,0.335,0.499,-7.0,1.0,4.0,0.67,,,
22,Joseph Bramlett,34255,70.58,0.454,0.204,0.17,0.751,0.394,-0.297,-1.67,0.33,,,227.0,-3.0,1.0
23,Ryan Brehm,28420,72.692,-1.091,-0.34,-0.446,-1.308,-0.471,0.218,-3.5,0.5,0.5,0.5,267.0,0.0,0.0
24,Scott Brown,29479,,,,,,,,-6.75,0.75,0.75,0.5,278.0,-7.0,1.0
25,Wesley Bryan,48084,,,,,,,,1.75,0.25,-1.0,1.0,298.0,9.0,0.0
26,Hayden Buckley,55708,70.537,0.261,0.695,-0.518,0.2,0.02,0.061,,,-1.0,1.0,,,
27,Bronson Burgoon,29268,,,,,,,,0.8,0.2,-0.5,0.5,,,
28,Bob Burns,06809,,,,,,,,,,,,,,
29,Sam Burns,47504,70.347,0.87,0.261,0.071,0.205,-0.173,0.666,-15.0,1.0,-5.67,0.67,,,
30,Jonathan Byrd,24925,71.47,-0.52,-0.335,0.525,-0.294,-0.567,-0.227,-6.4,0.8,2.0,0.0,228.0,-2.0,1.0
31,Chad Campbell,12510,,,,,,,,-5.0,0.75,-3.25,1.0,,,
32,Patrick Cantlay,35450,69.312,1.977,0.872,0.08,1.532,0.499,0.445,,,-4.25,1.0,,,
33,Bud Cauley,34021,,,,,,,,-11.75,1.0,5.0,0.0,,,
34,Greg Chalmers,20593,,,,,,,,-2.5,0.5,11.0,0.0,,,
35,Cameron Champ,52372,71.72,-0.801,0.419,-0.698,-0.347,-0.231,-0.454,4.5,0.0,-4.5,1.0,197.0,2.0,0.0
36,Kevin Chappell,32366,71.522,-0.096,-0.018,0.078,0.1,0.123,-0.196,0.0,0.0,-0.33,0.67,240.0,0.0,0.0
37,Daniel Chopra,20850,,,,,,,,,,1.0,0.0,,,
38,Stewart Cink,20229,71.305,-0.404,-0.071,0.054,-0.271,-0.118,-0.133,-2.6,0.4,-0.33,0.83,279.0,-8.0,1.0
39,Tim Clark,23135,,,,,,,,,,,,,,
40,Wyndham Clark,51766,69.606,1.382,0.359,0.208,1.047,0.506,0.335,0.67,0.0,-7.0,1.0,,,
41,Michael Clark II,12388,,,,,,,,,,,,,,
42,Eric Cole,47591,69.956,0.959,-0.321,0.207,0.377,0.436,0.582,,,,,,,
43,Trevor Cone,49453,71.698,-0.161,0.565,-0.41,-0.074,-0.274,-0.087,,,,,,,
44,Corey Conners,39997,70.222,1.042,0.507,-0.034,1.149,0.609,-0.107,-7.75,0.75,-0.33,0.83,198.0,-9.0,1.0
45,Austin Cook,46435,71.729,-0.816,-0.667,0.325,-0.518,-0.215,-0.298,-1.0,0.6,-5.5,1.0,176.0,2.0,0.0
46,Chris Couch,11123,,,,,,,,,,,,,,
47,Vince Covello,32982,,,,,,,,4.0,0.0,,,,,
48,Ben Crane,23541,,,,,,,,-1.5,0.25,0.0,0.75,,,
49,Ben Curtis,22621,,,,,,,,,,,,,,
50,MJ Daffue,39067,71.323,-0.077,0.446,-0.172,-0.004,-0.197,-0.073,,,,,,,
51,Joel Dahmen,34076,71.053,-0.447,0.105,0.03,0.24,0.058,-0.687,-3.25,0.75,-1.5,0.5,229.0,3.0,1.0
52,Robert Damron,19881,,,,,,,,,,,,,,
53,Brian Davis,21753,,,,,,,,3.0,0.0,5.0,0.33,,,
54,Cam Davis,45157,70.457,0.572,0.626,0.131,0.817,0.18,-0.245,,,,,,,
55,Jason Day,28089,69.699,1.475,0.396,0.314,0.963,0.269,0.512,,,-3.67,0.67,,,
56,Brendon de Jonge,23638,,,,,,,,,,,,,,
57,Jay Delsing,01261,,,,,,,,,,,,,,
58,Thomas Detry,33653,70.389,0.402,0.068,0.127,0.155,0.025,0.247,,,,,,,
59,Luke Donald,23983,71.253,0.052,-0.851,0.161,-0.402,0.342,0.454,-3.86,0.43,-3.0,1.0,247.0,-5.0,1.0
60,Zecheng Dou,37338,71.513,-0.493,0.066,0.066,0.005,-0.042,-0.497,-2.0,0.0,2.0,1.0,,,
61,Jason Dufner,25686,71.862,-0.647,-0.061,0.115,0.112,0.186,-0.759,-6.25,0.88,,,230.0,4.0,1.0
62,Tyler Duncan,45609,71.225,-0.386,0.318,-0.445,-0.194,-0.176,-0.192,-5.2,0.6,-2.67,1.0,291.0,0.0,0.0
63,Nico Echavarria,51349,71.603,-0.973,-0.082,-0.295,-0.832,-0.415,-0.141,,,,,,,
64,Austin Eckroat,57362,70.712,0.44,0.316,0.003,0.314,-0.036,0.126,-8.0,1.0,,,,,
65,Ernie Els,06522,,,,,,,,1.25,0.25,2.0,0.5,,,
66,Harrison Endycott,47079,71.563,-0.43,-0.181,0.035,-0.397,-0.313,-0.033,,,,,,,
67,Harris English,34099,70.516,0.504,-0.311,0.236,0.017,0.094,0.486,-7.86,0.86,-3.4,0.8,221.0,3.0,0.0
68,Matt Every,28307,,,,,,,,0.0,0.33,-0.67,0.33,,,
69,Brad Faxon,01329,,,,,,,,,,,,,,
70,Tony Finau,29725,69.742,1.557,0.271,0.262,1.504,0.776,0.053,,,-2.4,0.8,,,
71,Matt Fitzpatrick,40098,70.161,1.059,0.253,0.213,0.549,0.067,0.51,,,,,,,
72,Tommy Fleetwood,30911,69.296,1.866,0.319,0.406,1.373,0.462,0.492,-3.0,1.0,-4.67,1.0,,,
73,Rickie Fowler,32102,69.379,1.731,0.207,0.278,1.306,0.75,0.426,-2.33,0.33,-0.67,0.67,269.0,0.0,0.0
74,Ryan Fox,29936,,,,,,,,,,,,,,
75,Robin Freeman,01374,,,,,,,,,,,,,,
76,Dylan Frittelli,29970,72.45,-1.339,-0.583,0.006,-1.41,-0.519,0.071,-5.33,0.33,-8.0,1.0,,,
77,Jim Furyk,10809,,,,,,,,-10.33,0.67,-0.5,0.5,,,
78,Brice Garnett,29535,71.567,-0.026,-0.143,0.036,-0.233,-0.206,0.207,-5.71,0.57,3.67,0.33,186.0,1.0,0.0
79,Robert Garrigus,24358,,,,,,,,0.25,0.25,3.0,0.5,270.0,9.0,0.0
80,Ryan Gerard,59018,71.149,-0.036,-0.23,0.167,0.361,0.226,-0.397,,,,,,,
81,Doug Ghim,52375,70.936,0.242,0.129,0.07,0.45,0.172,-0.207,-4.0,0.25,1.0,0.0,208.0,1.0,0.0
82,Michael Gligic,32662,72.683,-1.401,0.071,-0.436,-1.117,-0.568,-0.284,-3.33,1.0,,,250.0,-4.0,1.0
