,player,player_id,index,last_season_score,last_season_cut
0,Anders Albertson,49303,,,
1,Tyson Alexander,33408,,,
2,Byeong Hun An,33948,,,
3,Ryan Armour,19803,,,
4,Aaron Baddeley,22371,,,
5,Sangmoon Bae,28259,,,
6,Briny Baird,20498,,,
7,Erik Barnes,34374,,,
8,Ricky Barnes,24846,,,
9,Daniel Berger,40026,,,
10,Christiaan Bezuidenhout,45522,,,
11,Akshay Bhatia,56630,,,
12,Zac Blair,40058,,,
13,Jonas Blixt,27895,,,
14,Keegan Bradley,33141,,,
15,Joseph Bramlett,34255,,,
16,Ryan Brehm,28420,,,
17,Scott Brown,29479,,,
18,Wesley Bryan,48084,,,
19,Hayden Buckley,55708,,,
20,Bronson Burgoon,29268,,,
21,Sam Burns,47504,,,
22,Jonathan Byrd,24925,,,
23,Patrick Cantlay,35450,,,
24,Bud Cauley,34021,,,
25,Greg Chalmers,20593,,,
26,Cameron Champ,52372,,,
27,Kevin Chappell,32366,,,
28,Stewart Cink,20229,,,
29,Tim Clark,23135,,,
30,Wyndham Clark,51766,,,
31,Eric Cole,47591,,,
32,Chad Collins,25720,,,
33,Trevor Cone,49453,,,
34,Corey Conners,39997,,,
35,Austin Cook,46435,,,
36,Vince Covello,32982,,,
37,Ben Crane,23541,,,
38,MJ Daffue,39067,,,
39,Joel Dahmen,34076,,,
40,Brian Davis,21753,,,
41,Cam Davis,45157,,,
42,Jason Day,28089,,,
43,Thomas Detry,33653,,,
44,Luke Donald,23983,,,
45,Zecheng Dou,37338,,,
46,Jason Dufner,25686,,,
47,Tyler Duncan,45609,,,
48,Nico Echavarria,51349,,,
49,Austin Eckroat,57362,,,
50,Harrison Endycott,47079,,,
51,Harris English,34099,,,
52,Matt Every,28307,,,
53,Tony Finau,29725,,,
54,Matt Fitzpatrick,40098,,,
55,Tommy Fleetwood,30911,,,
56,Rickie Fowler,32102,,,
57,Dylan Frittelli,29970,,,
58,Jim Furyk,10809,,,
59,Brice Garnett,29535,,,
60,Robert Garrigus,24358,,,
61,Doug Ghim,52375,,,
62,Michael Gligic,32662,,,
63,Lucas Glover,25900,,,
64,Fabián Gómez,28679,,,
65,Will Gordon,56762,,,
66,Tano Goya,31577,,,
67,Brent Grant,51414,,,
68,Ben Griffin,54591,,,
69,Lanto Griffin,35310,,,
70,Emiliano Grillo,31646,,,
71,Bill Haas,24924,,,
72,Chesson Hadley,34563,,,
73,Adam Hadwin,33399,,,
74,James Hahn,32448,,,
75,Paul Haley II,35901,,,
76,Harry Hall,57975,,,
77,Nick Hardy,47988,,,
78,Brian Harman,27644,,,
79,Scott Harrington,27554,,,
80,Tyrrell Hatton,34363,,,
81,David Hearn,26758,,,
82,Russell Henley,34098,,,
83,J.J. Henry,23353,,,
84,Lucas Herbert,39058,,,
85,Jim Herman,31557,,,
86,Kramer Hickok,49298,,,
87,Garrick Higgo,54421,,,
88,Harry Higgs,33597,,,
89,Lee Hodges,54628,,,
90,Charley Hoffman,12716,,,
91,Tom Hoge,35532,,,
92,J.B. Holmes,27141,,,
93,Max Homa,39977,,,
94,Billy Horschel,29420,,,
95,Beau Hossler,35461,,,
96,Viktor Hovland,46717,,,
97,Mark Hubbard,36801,,,
98,Mackenzie Hughes,35506,,,
99,John Huh,34174,,,
100,Sungjae Im,39971,,,
101,Stephan Jaeger,36799,,,
102,Richard Johnson,26420,,,
103,Zach Johnson,24024,,,
104,Sung Kang,27974,,,
105,Michael Kim,39975,,,
106,S.H. Kim,50188,,,
107,Si Woo Kim,37455,,,
108,Tom Kim,55182,,,
109,Chris Kirk,30926,,,
110,Kevin Kisner,29478,,,
111,Kurt Kitayama,48117,,,
112,Patton Kizzire,32757,,,
113,Philip Knowles,54813,,,
114,Russell Knox,33122,,,
115,Satoshi Kodaira,32816,,,
116,Kelly Kraft,35879,,,
117,Matt Kuchar,23108,,,
118,Martin Laird,27936,,,
119,Andrew Landry,33410,,,
120,Nate Lashley,28775,,,
121,Hank Lebioda,49766,,,
122,K.H. Lee,32791,,,
123,Nicholas Lindheim,37278,,,
124,David Lingmerth,34409,,,
125,David Lipsky,36326,,,
126,Luke List,27129,,,
127,Adam Long,35449,,,
128,Davis Love III,01706,,,
129,Justin Lower,40162,,,
130,Shane Lowry,33204,,,
131,Peter Malnati,34466,,,
132,Ben Martin,33413,,,
133,Hideki Matsuyama,32839,,,
134,Brandon Matthews,51491,,,
135,Denny McCarthy,47993,,,
136,Tyler McCumber,40042,,,
137,William McGirt,31202,,,
138,Max McGreevy,51950,,,
139,Rory McIlroy,28237,,,
140,Maverick McNealy,46442,,,
141,John Merrick,27933,,,
142,Troy Merritt,32640,,,
143,Keith Mitchell,39546,,,
144,Francesco Molinari,25198,,,
145,Taylor Montgomery,55789,,,
146,Ryan Moore,26596,,,
147,Taylor Moore,49947,,,
148,Collin Morikawa,50525,,,
149,Trey Mullinax,46601,,,
150,Grayson Murray,34213,,,
151,Matthew NeSmith,36871,,,
152,S.Y. Noh,29289,,,
153,Alex Noren,27349,,,
154,Henrik Norlander,30163,,,
155,Vincent Norrman,51070,,,
156,Andrew Novak,51997,,,
157,Augusto Núñez,36724,,,
158,Sean O'Hair,24140,,,
159,Ryan Palmer,23320,,,
160,C.T. Pan,29908,,,
161,Taylor Pendrith,40250,,,
162,Cameron Percy,22056,,,
163,Scott Piercy,25818,,,
164,D.A. Points,25240,,,
165,J.T. Poston,49771,,,
166,"Ted Potter, Jr.",27556,,,
167,Seamus Power,28252,,,
168,Andrew Putnam,34256,,,
169,Jon Rahm,46970,,,
170,Aaron Rai,46414,,,
171,Chad Ramey,47983,,,
172,Chez Reavie,26476,,,
173,Doc Redman,53165,,,
174,Davis Riley,47995,,,
175,Patrick Rodgers,36699,,,
176,Justin Rose,22405,,,
177,Kevin Roy,39335,,,
178,Sam Ryder,37275,,,
179,Rory Sabbatini,23621,,,
180,Xander Schauffele,48081,,,
181,Scottie Scheffler,46046,,,
182,Adam Schenk,47347,,,
183,Matti Schmid,48867,,,
184,Matthias Schwab,34610,,,
185,Adam Scott,24502,,,
186,Robby Shelton,46441,,,
187,Greyson Sigg,51890,,,
188,Webb Simpson,29221,,,
189,Vijay Singh,06567,,,
190,Alex Smalley,46340,,,
191,Austin Smotherman,50095,,,
192,Brandt Snedeker,27649,,,
193,J.J. Spaun,39324,,,
194,Jordan Spieth,34046,,,
195,Kevin Stadler,26679,,,
196,Scott Stallings,30692,,,
197,Kyle Stanley,30110,,,
198,Sam Stevens,55893,,,
199,Sepp Straka,49960,,,
200,Robert Streb,34431,,,
201,Kevin Streelman,27214,,,
202,Chris Stroud,27963,,,
203,Brian Stuard,31560,,,
204,Justin Suh,50493,,,
205,Adam Svensson,40115,,,
206,Callum Tarren,48699,,,
207,Ben Taylor,48119,,,
208,Nick Taylor,25493,,,
209,Vaughn Taylor,23325,,,
210,Sahith Theegala,51634,,,
211,Justin Thomas,33448,,,
212,Davis Thompson,58168,,,
213,Michael Thompson,32150,,,
214,Brendon Todd,30927,,,
215,D.J. Trahan,23788,,,
216,Martin Trainer,35617,,,
217,Kevin Tway,32333,,,
218,Bo Van Pelt,23623,,,
219,Erik van Rooyen,40006,,,
220,Jhonattan Vegas,27064,,,
221,Camilo Villegas,27770,,,
222,Jimmy Walker,25632,,,
223,Matt Wallace,48887,,,
224,Nick Watney,27095,,,
225,Trevor Werbylo,58967,,,
226,Richy Werenski,47128,,,
227,Kyle Westmoreland,52411,,,
228,Vince Whaley,51894,,,
229,Tim Wilkinson,25349,,,
230,Danny Willett,32139,,,
231,Aaron Wise,49964,,,
232,Gary Woodland,31323,,,
233,Tiger Woods,08793,,,
234,Brandon Wu,52374,,,
235,Dylan Wu,54783,,,
236,Cameron Young,57366,,,
237,Carson Young,52513,,,
238,Kevin Yu,45242,,,
239,Carl Yuan,55454,,,
240,Will Zalatoris,47483,,,
